School Name,School Type,School Level,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR,Mean Score_zscore,Percent Scoring Below 65_zscore,Percent Scoring 65 or Above_zscore,Percent Scoring 80 or Above_zscore,Percent Scoring CR_zscore,Mean_Score_within_SchoolType_zscore,Zip Code
Pace High School,General Academic,High school,Geometry,2015,163,62.9,81.0,49.7,82.0,50.3,13.0,8.0,13.0,8.0,-0.23,0.27,-0.27,-0.51,-1.04,-0.29,10038
N.Y.C. Museum School,General Academic,High school,English,2015,128,87.4,2.0,1.6,126.0,98.4,112.0,87.5,124.0,96.9,1.98,-1.41,1.41,2.55,1.84,1.88,10014
N.Y.C. Museum School,General Academic,High school,Geometry,2015,132,75.1,12.0,9.1,120.0,90.9,40.0,30.3,40.0,30.3,0.87,-1.15,1.15,0.35,-0.32,0.79,10014
Eleanor Roosevelt High School,General Academic,High school,Geometry,2015,139,84.2,10.0,7.2,129.0,92.8,101.0,72.7,101.0,72.7,1.69,-1.22,1.22,1.98,1.05,1.6,10065
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2015,49,78.4,1.0,2.0,48.0,98.0,23.0,46.9,48.0,98.0,1.17,-1.4,1.4,0.98,1.87,1.08,10002
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2016,51,79.0,9.0,17.6,42.0,82.4,33.0,64.7,40.0,78.4,1.22,-0.85,0.85,1.67,1.24,1.13,10002
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2017,51,84.8,0.0,0.0,51.0,100.0,44.0,86.3,50.0,98.0,1.74,-1.47,1.47,2.5,1.87,1.65,10002
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2018,31,90.8,0.0,0.0,31.0,100.0,30.0,96.8,31.0,100.0,2.28,-1.47,1.47,2.9,1.94,2.18,10002
P.S. 184m Shuang Wen,General Academic,K-8,Common Core Algebra,2019,34,89.6,0.0,0.0,34.0,100.0,34.0,100.0,34.0,100.0,2.17,-1.47,1.47,3.03,1.94,2.07,10002
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2015,23,62.9,14.0,60.9,9.0,39.1,0.0,0.0,2.0,8.7,-0.23,0.66,-0.66,-0.82,-1.01,-0.29,10001
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2016,22,69.0,6.0,27.3,16.0,72.7,2.0,9.1,15.0,68.2,0.32,-0.51,0.51,-0.47,0.91,0.25,10001
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2017,20,67.4,7.0,35.0,13.0,65.0,1.0,5.0,10.0,50.0,0.18,-0.25,0.25,-0.63,0.32,0.11,10001
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2018,19,59.3,13.0,68.4,6.0,31.6,0.0,0.0,5.0,26.3,-0.55,0.92,-0.92,-0.82,-0.44,-0.61,10001
P.S. 188 The Island School,General Academic,K-8,Common Core Algebra,2019,51,55.2,39.0,76.5,12.0,23.5,0.0,0.0,6.0,11.8,-0.92,1.2,-1.2,-0.82,-0.91,-0.97,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2015,12,52.3,11.0,91.7,1.0,8.3,0.0,0.0,0.0,0.0,-1.18,1.74,-1.74,-0.82,-1.29,-1.23,10001
Orchard Collegiate Academy,General Academic,High school,Common Core English,2015,34,61.5,15.0,44.1,19.0,55.9,9.0,26.5,11.0,32.4,-0.36,0.07,-0.07,0.2,-0.25,-0.42,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2015,10,49.2,9.0,90.0,1.0,10.0,0.0,0.0,1.0,10.0,-1.46,1.68,-1.68,-0.82,-0.97,-1.51,10001
Orchard Collegiate Academy,General Academic,High school,English,2015,57,63.0,25.0,43.9,32.0,56.1,5.0,8.8,13.0,22.8,-0.22,0.07,-0.07,-0.48,-0.56,-0.28,10001
Orchard Collegiate Academy,General Academic,High school,Geometry,2015,18,57.8,12.0,66.7,6.0,33.3,1.0,5.6,1.0,5.6,-0.69,0.86,-0.86,-0.6,-1.11,-0.74,10001
Orchard Collegiate Academy,General Academic,High school,Integrated Algebra,2015,63,63.4,30.0,47.6,33.0,52.4,5.0,7.9,5.0,7.9,-0.18,0.19,-0.19,-0.52,-1.04,-0.25,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2016,50,63.9,25.0,50.0,25.0,50.0,3.0,6.0,15.0,30.0,-0.14,0.28,-0.28,-0.59,-0.33,-0.2,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Algebra2,2016,6,48.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.57,2.03,-2.03,-0.82,-1.29,-1.61,10001
Orchard Collegiate Academy,General Academic,High school,Common Core English,2016,46,67.2,13.0,28.3,33.0,71.7,13.0,28.3,15.0,32.6,0.16,-0.48,0.48,0.27,-0.24,0.09,10001
Orchard Collegiate Academy,General Academic,High school,English,2016,18,51.6,15.0,83.3,3.0,16.7,0.0,0.0,1.0,5.6,-1.25,1.44,-1.44,-0.82,-1.11,-1.29,10001
Orchard Collegiate Academy,General Academic,High school,Integrated Algebra,2016,7,51.7,5.0,71.4,2.0,28.6,0.0,0.0,0.0,0.0,-1.24,1.03,-1.03,-0.82,-1.29,-1.28,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2017,53,67.5,15.0,28.3,38.0,71.7,6.0,11.3,29.0,54.7,0.18,-0.48,0.48,-0.38,0.47,0.12,10001
Orchard Collegiate Academy,General Academic,High school,Common Core English,2017,41,77.2,3.0,7.3,38.0,92.7,22.0,53.7,30.0,73.2,1.06,-1.21,1.21,1.25,1.07,0.98,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2017,11,56.8,9.0,81.8,2.0,18.2,0.0,0.0,1.0,9.1,-0.78,1.39,-1.39,-0.82,-1.0,-0.83,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Algebra,2018,41,64.5,18.0,43.9,23.0,56.1,4.0,9.8,15.0,36.6,-0.09,0.07,-0.07,-0.44,-0.11,-0.15,10001
Orchard Collegiate Academy,General Academic,High school,Common Core English,2018,37,74.5,5.0,13.5,32.0,86.5,16.0,43.2,25.0,67.6,0.81,-1.0,1.0,0.84,0.89,0.74,10001
Orchard Collegiate Academy,General Academic,High school,Common Core Geometry,2018,18,62.2,9.0,50.0,9.0,50.0,3.0,16.7,6.0,33.3,-0.29,0.28,-0.28,-0.18,-0.22,-0.35,10001
