variable,label,type,measurement_level,unit,n,n_unique,missing_n,missing_pct,example,min,p25,median,mean,p75,max,std,top_values,question_text,value_labels,notes
DBN,DBN,text,free-text,,6889,410,0,0.0,02M546,,,,,,,,"77Q492 (36, 0.5%); 73K505 (21, 0.3%); 73K540 (21, 0.3%); 77Q445 (21, 0.3%); 77Q425 (21, 0.3%); 76R450 (21, 0.3%); 76K605 (21, 0.3%); 72X297 (21, 0.3%); 73K567 (21, 0.3%); 02M413 (21, 0.3%); 73K445 (21, 0.3%); 72X438 (21, 0.3%); 72X527 (21, 0.3%); 72X479 (21, 0.3%); 72X522 (21, 0.3%)",,,
Location_Code,Location Code,text,free-text,,6889,410,0,0.0,M546,,,,,,,,"Q492 (36, 0.5%); K505 (21, 0.3%); K540 (21, 0.3%); Q445 (21, 0.3%); Q425 (21, 0.3%); R450 (21, 0.3%); K605 (21, 0.3%); X297 (21, 0.3%); K567 (21, 0.3%); M413 (21, 0.3%); K445 (21, 0.3%); X438 (21, 0.3%); X527 (21, 0.3%); X479 (21, 0.3%); X522 (21, 0.3%)",,,
School_Name,School Name,text,free-text,,6889,410,0,0.0,ACADEMY FOR SOFTWARE ENGINEERING,,,,,,,,"MATHEMATICS  SCIENCE RESEARCH AND TECHNOLOGY MAGNE (36, 0.5%); FRANKLIN DELANO ROOSEVELT HIGH SCHOOL (21, 0.3%); JOHN DEWEY HIGH SCHOOL (21, 0.3%); WILLIAM CULLEN BRYANT HIGH SCHOOL (21, 0.3%); JOHN BOWNE HIGH SCHOOL (21, 0.3%); CURTIS HIGH SCHOOL (21, 0.3%); GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION (21, 0.3%); MORRIS ACADEMY FOR COLLABORATIVE STUDIES (21, 0.3%); BROOKLYN THEATRE ARTS HIGH SCHOOL (21, 0.3%); SCHOOL OF THE FUTURE HIGH SCHOOL (21, 0.3%); NEW UTRECHT HIGH SCHOOL (21, 0.3%); FORDHAM LEADERSHIP ACADEMY (21, 0.3%); BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (21, 0.3%); BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL (21, 0.3%); BRONX DESIGN AND CONSTRUCTION ACADEMY (21, 0.3%)",,,
School Type,School Type,categorical,nominal,,6889,4,0,0.0,Career Technical,,,,,,,,"General Academic (5488, 79.7%); Career Technical (800, 11.6%); Transfer School (585, 8.5%); Special Education (16, 0.2%)",,,
School Level,School Level,categorical,nominal,,6889,1,0,0.0,High school,,,,,,,,"High school (6889, 100.0%)",,,
Leadership_Count,Leadership Count,datetime,interval,,6889,15,0,0.0,3,,,,,,,,"3 (2811, 40.8%); 2 (1361, 19.8%); 4 (1190, 17.3%); 1 (268, 3.9%); 5 (254, 3.7%); 12 (161, 2.3%); 7 (142, 2.1%); 13 (135, 2.0%); 8 (112, 1.6%); 6 (112, 1.6%); 11 (91, 1.3%); 9 (90, 1.3%); 10 (89, 1.3%); 14 (54, 0.8%); 15 (19, 0.3%)",,,
Teacher_Count,Teacher Count,datetime,interval,,6889,110,0,0.0,32,,,,,,,,"34 (268, 3.9%); 17 (248, 3.6%); 28 (242, 3.5%); 37 (239, 3.5%); 26 (223, 3.2%); 32 (215, 3.1%); 30 (213, 3.1%); 27 (210, 3.0%); 24 (204, 3.0%); 25 (204, 3.0%); 18 (191, 2.8%); 29 (189, 2.7%); 35 (177, 2.6%); 31 (168, 2.4%); 36 (161, 2.3%)",,,
Other_Staff_Count,Other Staff Count,datetime,interval,,6889,49,0,0.0,13,,,,,,,,"7 (656, 9.5%); 8 (616, 8.9%); 10 (601, 8.7%); 5 (588, 8.5%); 6 (543, 7.9%); 4 (487, 7.1%); 11 (475, 6.9%); 9 (343, 5.0%); 12 (308, 4.5%); 14 (216, 3.1%); 17 (202, 2.9%); 13 (189, 2.7%); 3 (173, 2.5%); 16 (169, 2.5%); 15 (126, 1.8%)",,,
Total_Staff,Total Staff,datetime,interval,,6889,128,0,0.0,48,,,,,,,,"46 (232, 3.4%); 41 (224, 3.3%); 51 (187, 2.7%); 47 (185, 2.7%); 38 (180, 2.6%); 39 (178, 2.6%); 33 (175, 2.5%); 43 (171, 2.5%); 34 (170, 2.5%); 40 (166, 2.4%); 22 (163, 2.4%); 28 (159, 2.3%); 45 (143, 2.1%); 60 (143, 2.1%); 37 (142, 2.1%)",,,
Male_Teachers,Male Teachers,datetime,interval,,6889,63,251,3.64,15.0,,,,,,,,"12.0 (556, 8.1%); 14.0 (438, 6.4%); 8.0 (419, 6.1%); 11.0 (397, 5.8%); 9.0 (363, 5.3%); 18.0 (359, 5.2%); 13.0 (356, 5.2%); 15.0 (355, 5.2%); 7.0 (349, 5.1%); 16.0 (263, 3.8%); 10.0 (260, 3.8%); nan (251, 3.6%); 5.0 (232, 3.4%); 6.0 (227, 3.3%); 19.0 (225, 3.3%)",,,
