DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
02M546,M546,ACADEMY FOR SOFTWARE ENGINEERING,40.735361,-73.987064,40 IRVING PLACE,10003,Union Square - Lower East Side,M,Manhattan,2
07X625,X625,BRONX LEGACY HIGH SCHOOL,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,7
72X508,X508,BRONXDALE HIGH SCHOOL,40.860443,-73.860729,925 ASTOR AVENUE,10469,Northeast Bronx,X,Bronx,72
08X537,X537,BRONX ARENA HIGH SCHOOL,40.820486,-73.881187,1440 STORY AVENUE,10473,Pelham - Throgs Neck,X,Bronx,8
30Q417,Q417,GOTHAM TECH HIGH SCHOOL,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint,Q,Queens,30
76K610,K610,A-TECH HIGH SCHOOL,40.721448,-73.953328,50 BEDFORD AVENUE,11222,Greenpoint,K,Brooklyn,76
71M047,M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,40.738374,-73.981329,223 EAST 23 STREET,10010,Gramercy Park - Murray Hill,M,Manhattan,71
71M135,M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,40.711441,-74.000851,411 PEARL STREET,10038,Lower Manhattam,M,Manhattan,71
71M139,M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,40.763655,-73.990318,439 WEST 49 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M157,M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,40.807019,-73.938714,2005 MADISON AVENUE,10035,East Harlem,M,Manhattan,71
71M211,M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,40.865556,-73.925464,650 ACADEMY STREET,10034,Washington Heights - Inwood,M,Manhattan,71
71M280,M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,40.711441,-74.000851,411 PEARL STREET,10038,Lower Manhattam,M,Manhattan,71
71M282,M282,URBAN ASSEMBLY MAKER ACADEMY,40.711441,-74.000851,411 PEARL STREET,10038,Lower Manhattam,M,Manhattan,71
71M285,M285,HARLEM RENAISSANCE HIGH SCHOOL,40.807692,-73.939974,22 EAST 128 STREET,10035,East Harlem,M,Manhattan,71
71M288,M288,FOOD AND FINANCE HIGH SCHOOL,40.765474,-73.9927,525 WEST 50 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M292,M292,ORCHARD COLLEGIATE ACADEMY,40.713362,-73.986051,220 HENRY STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M296,M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,40.765474,-73.9927,525 WEST 50 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M298,M298,PACE HIGH SCHOOL,40.716231,-73.993607,100 HESTER STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M479,M479,BEACON HIGH SCHOOL,40.716231,-73.993607,100 HESTER STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M299,M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,40.774891,-73.985608,122 AMSTERDAM AVENUE,10023,Upper West Side,M,Manhattan,71
71M300,M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,40.765474,-73.9927,525 WEST 50 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M303,M303,FACING HISTORY SCHOOL  THE,40.765474,-73.9927,525 WEST 50 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M304,M304,MOTT HALL HIGH SCHOOL,40.817228,-73.947151,6 EDGECOMBE AVENUE,10030,Central Harlem - Morningside Heights,M,Manhattan,71
71M305,M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW  THE,40.717329,-73.989329,350 GRAND STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M307,M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE,40.774891,-73.985608,122 AMSTERDAM AVENUE,10023,Upper West Side,M,Manhattan,71
71M308,M308,LOWER MANHATTAN ARTS ACADEMY,40.717329,-73.989329,350 GRAND STREET,10002,Union Square - Lower East Side,M,Manhattan,71
