Year,School Name,DBN,Pupil Teacher Ratio
2019,QUEST TO LEARN,02M422,11.5
2019,ACADEMY FOR SOFTWARE ENGINEERING,02M546,12.9
2019,ESPERANZA PREPARATORY ACADEMY,04M372,11.4
2019,CITY COLLEGE ACADEMY OF THE ARTS,06M293,15.8
2019,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,06M346,13.6
2019,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,07X223,11.8
2019,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",08X367,14.0
2019,BRONX ARENA HIGH SCHOOL,08X537,9.8
2019,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,09X327,14.1
2019,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,09X568,14.2
2019,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,10.4
2019,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),10X368,14.9
2019,MOTT HALL V,12X242,11.8
2019,SPRING CREEK COMMUNITY SCHOOL,19K422,11.3
2019,"QUEENS SCHOOL OF INQUIRY, THE",25Q252,12.3
2019,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,25Q285,15.0
2019,SCHOLARS' ACADEMY,27Q323,17.9
2019,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,28Q167,12.4
2019,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,29Q283,18.6
2019,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",30Q286,15.8
2019,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,31R028,11.2
2020,QUEST TO LEARN,02M422,12.7
2020,ACADEMY FOR SOFTWARE ENGINEERING,02M546,11.9
2020,ESPERANZA PREPARATORY ACADEMY,04M372,10.5
2020,CITY COLLEGE ACADEMY OF THE ARTS,06M293,15.7
2020,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,06M346,12.9
2020,MS 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,07X223,13.8
2020,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",08X367,13.6
2020,BRONX ARENA HIGH SCHOOL,08X537,10.8
2020,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327,09X327,13.2
2020,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,09X568,15.2
2020,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,11.3
2020,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),10X368,14.0
2020,MOTT HALL V,12X242,12.4
2020,SPRING CREEK COMMUNITY SCHOOL,19K422,10.7
2020,"QUEENS SCHOOL OF INQUIRY, THE",25Q252,13.2
2020,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,25Q285,14.7
2020,SCHOLARS' ACADEMY,27Q323,17.2
2020,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,28Q167,12.2
2020,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,29Q283,18.0
