Year,School Name,DBN,Pupil Teacher Ratio
2020,PS 015 ROBERTO CLEMENTE,01M015,8.3
2020,PS 019 ASHER LEVY,01M019,6
2020,PS 020 ANNA SILVER,01M020,12.4
2020,PS 034 FRANKLIN D ROOSEVELT,01M034,9
2020,THE STAR ACADEMY - PS63,01M063,9.8
2020,PS 064 ROBERT SIMON,01M064,10.7
2020,PS 110 FLORENCE NIGHTINGALE,01M110,16.3
2020,PS 134 HENRIETTA SZOLD,01M134,8.5
2020,PS 140 NATHAN STRAUS,01M140,10.2
2020,PS 142 AMALIA CASTRO,01M142,9.3
2020,PS 184M SHUANG WEN,01M184,13.3
2020,PS 188 THE ISLAND SCHOOL,01M188,10.9
2020,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,01M292,11
2020,THE EAST VILLAGE COMMUNITY SCHOOL,01M315,14
2020,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,7.9
2020,THE CHILDREN'S WORKSHOP SCHOOL,01M361,12.4
2020,NEIGHBORHOOD SCHOOL,01M363,13.6
2020,EARTH SCHOOL,01M364,12.3
2020,SCHOOL FOR GLOBAL LEADERS,01M378,8.4
2020,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,01M448,14.9
2020,EAST SIDE COMMUNITY SCHOOL,01M450,13.5
2020,FORSYTH SATELLITE ACADEMY,01M458,10.4
2020,MARTA VALLE HIGH SCHOOL,01M509,8.2
2020,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,01M515,15.6
2020,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,17.4
2020,CASCADES HIGH SCHOOL,01M650,13.1
2020,BARD HIGH SCHOOL EARLY COLLEGE,01M696,17
2020,TOMPKINS SQUARE MIDDLE SCHOOL,01M839,12.3
2020,PS 001 ALFRED E SMITH,02M001,10.2
2020,PS 002 MEYER LONDON,02M002,11.1
2020,PS 003 CHARRETTE SCHOOL,02M003,14.4
2020,PS 006 LILLIE D BLAKE,02M006,17.5
2020,PS 011 WILLIAM T HARRIS,02M011,15.9
2020,PS 033 CHELSEA PREP,02M033,16.2
2020,PS 040 AUGUSTUS SAINT-GAUDENS,02M040,17.7
2020,PS 041 GREENWICH VILLAGE,02M041,16
2020,PS 042 BENJAMIN ALTMAN,02M042,10.8
2020,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,02M047,8.7
2020,PS 051 ELIAS HOWE,02M051,13.5
2020,PS 059 BEEKMAN HILL INTERNATIONAL,02M059,15.5
2020,PS 77 LOWER LAB SCHOOL,02M077,20.6
2020,PS 89,02M089,14.5
2020,JHS 104 SIMON BARUCH,02M104,16.8
2020,PS 111 ADOLPH S OCHS,02M111,12.5
2020,EAST SIDE MIDDLE SCHOOL,02M114,15.7
2020,PS 116 MARY LINDLEY MURRAY,02M116,14.5
2020,PS 124 YUNG WING,02M124,15.2
2020,PS 126 JACOB AUGUST RIIS,02M126,13.4
2020,PS 130 HERNANDO DE SOTO,02M130,15.5
2020,MS 131,02M131,11.7
2020,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,02M135,11.1
2020,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,02M139,10.8
2020,PS 150,02M150,20
2020,YORKVILLE COMMUNITY SCHOOL,02M151,13.3
2020,PS 158 BAYARD TAYLOR,02M158,16.2
2020,JHS 167 ROBERT F WAGNER,02M167,15.3
2020,YORKVILLE EAST MIDDLE SCHOOL,02M177,11.6
2020,PS 183 ROBERT L STEVENSON,02M183,15.5
2020,PS 198 ISADOR E IDA STRAUS,02M198,13.5
2020,PS 212 MIDTOWN WEST,02M212,18.6
2020,PS/IS 217 ROOSEVELT ISLAND,02M217,15.2
2020,ELLA BAKER SCHOOL,02M225,12.6
2020,PS 234 INDEPENDENCE SCHOOL,02M234,13.8
2020,MS 255 SALK SCHOOL OF SCIENCE,02M255,15.8
2020,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,02M260,15.3
2020,"EAST SIDE ELEMENTARY SCHOOL, PS 267",02M267,15.4
2020,BATTERY PARK CITY SCHOOL,02M276,14
2020,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,02M280,12.6
2020,THE RIVER SCHOOL,02M281,13.9
2020,URBAN ASSEMBLY MAKER ACADEMY,02M282,13.2
2020,FOOD AND FINANCE HIGH SCHOOL,02M288,12.8
2020,IS 289,02M289,15.2
2020,PS 290 MANHATTAN NEW SCHOOL,02M290,14.2
2020,ESSEX STREET ACADEMY,02M294,13.3
2020,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,02M296,12.4
2020,MS 297,02M297,14.3
2020,PACE HIGH SCHOOL,02M298,13.7
2020,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",02M300,11.5
2020,"FACING HISTORY SCHOOL, THE",02M303,12.2
2020,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",02M305,13.6
2020,LOWER MANHATTAN ARTS ACADEMY,02M308,12.9
2020,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,02M312,15.6
2020,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",02M313,11.3
2020,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",02M316,13.1
2020,SIXTH AVENUE ELEMENTARY SCHOOL,02M340,12.6
2020,THE PECK SLIP SCHOOL,02M343,13
2020,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,02M347,3.6
2020,GRAMERCY ARTS HIGH SCHOOL,02M374,15.2
2020,NYC ISCHOOL,02M376,14.3
2020,MANHATTAN BUSINESS ACADEMY,02M392,13.2
2020,BUSINESS OF SPORTS SCHOOL,02M393,12.4
2020,EMMA LAZARUS HIGH SCHOOL,02M394,15.7
2020,SPRUCE STREET SCHOOL,02M397,14.2
2020,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,02M399,15
2020,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,02M400,16.3
2020,INSTITUTE FOR COLLABORATIVE EDUCATION,02M407,16
2020,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,02M408,19.1
2020,BARUCH COLLEGE CAMPUS HIGH SCHOOL,02M411,18.7
2020,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,02M412,12.2
2020,SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,14.3
2020,NYC MUSEUM SCHOOL,02M414,14.9
2020,ELEANOR ROOSEVELT HIGH SCHOOL,02M416,16.9
2020,MILLENNIUM HIGH SCHOOL,02M418,17.2
2020,LANDMARK HIGH SCHOOL,02M419,15
2020,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,02M420,19.1
2020,QUEST TO LEARN,02M422,12.7
2020,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,02M425,13.5
2020,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,02M427,12.9
2020,MURRAY HILL ACADEMY,02M432,10.4
2020,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,02M437,14.1
2020,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,02M438,13.5
2020,MANHATTAN VILLAGE ACADEMY,02M439,15.9
2020,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",02M442,13.5
2020,VANGUARD HIGH SCHOOL,02M449,13.6
2020,MANHATTAN INTERNATIONAL HIGH SCHOOL,02M459,13.6
2020,STUYVESANT HIGH SCHOOL,02M475,22
2020,HIGH SCHOOL OF ECONOMICS AND FINANCE,02M489,15.3
2020,UNITY CENTER FOR URBAN TECHNOLOGIES,02M500,15.5
2020,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,02M507,12.8
2020,TALENT UNLIMITED HIGH SCHOOL,02M519,14.4
2020,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,02M520,9.5
