DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,English,MS English Other,115,5,23.0,<15,>34
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,English,MS English Core,87,4,21.8,17.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Math,MS Math Core,47,2,23.5,22.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Science,MS Science Core,47,2,23.5,22.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Social Studies,MS Social Studies Core,47,2,23.5,22.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT & Acc,Math,MS Integrated Algebra,40,2,20.0,17.0,23.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT & Acc,Science,MS Science Other,40,2,20.0,17.0,23.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT & Acc,Social Studies,MS Social Studies Other,40,2,20.0,17.0,23.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,Math,MS Math Core,20,1,20.0,20.0,20.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,Science,MS Science Core,79,4,19.8,<15,24.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Math,MS Math Core,114,5,22.8,16.0,26.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Science,MS Science Core,67,3,22.3,16.0,26.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,English,MS English Core,15,2,7.5,7.0,8.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Math,MS Math Core,39,4,9.8,7.0,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Science,MS Science Core,22,3,7.3,<6,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Social Studies,MS Social Studies Core,15,2,7.5,7.0,8.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,English,MS English Core,34,2,17.0,15.0,19.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Math,MS Integrated Algebra,46,2,23.0,23.0,23.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Science,MS Science Other,46,2,23.0,23.0,23.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Social Studies,MS Social Studies Other,29,2,14.5,<15,20.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,English,MS English Core,152,7,21.7,16.0,26.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Math,MS Math Core,119,5,23.8,21.0,26.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Science,MS Science Core,119,5,23.8,21.0,26.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Social Studies,MS Social Studies Core,154,7,22.0,17.0,26.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,English,MS English Core,95,5,19.0,<15,25.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Math,MS Math Core,66,3,22.0,20.0,25.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Science,MS Science Core,66,3,22.0,20.0,25.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Social Studies,MS Social Studies Core,93,5,18.6,<15,25.0
01M184,PS 184M SHUANG WEN,MS Core,ICT & Acc,Math,MS Integrated Algebra,50,2,25.0,24.0,26.0
01M184,PS 184M SHUANG WEN,MS Core,ICT & Acc,Science,MS Science Other,50,2,25.0,24.0,26.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Accelerated,Math,MS Integrated Algebra,49,2,24.5,24.0,25.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Accelerated,Science,MS Science Other,49,2,24.5,24.0,25.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Math,MS Math Core,147,6,24.5,19.0,30.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Science,MS Science Core,147,6,24.5,19.0,30.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,SC,Math,MS Math Core,13,2,6.5,<6,10.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,SC,Science,MS Science Core,10,1,10.0,10.0,10.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 09,78,4,19.5,19.0,20.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 11,47,2,23.5,22.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 12,26,1,26.0,26.0,26.0
