School Name,School Type,Weighted Register Allocation,Weighted Register Allocation If FSF Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Budget Allocation,FSF as % of Total Budget Allocation,Non-FSF Budget Allocations
 P.S. K004 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$27,345,842 ",0.00%,"$27,345,842 "
 P.S. 36 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$30,093,105 ",0.00%,"$30,093,105 "
 P.S. K053 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$32,057,501 ",0.00%,"$32,057,501 "
 P.S. K077 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$23,141,110 ",0.00%,"$23,141,110 "
 P.S. K140 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$26,861,868 ",0.00%,"$26,861,868 "
 P.S. K141 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$26,533,706 ",0.00%,"$26,533,706 "
 P.S. K231 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$30,693,355 ",0.00%,"$30,693,355 "
 P.S. 368 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$20,818,073 ",0.00%,"$20,818,073 "
 P.S. K369 - Coy L. Cox School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$37,637,852 ",0.00%,"$37,637,852 "
 P.S. 370 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$19,870,982 ",0.00%,"$19,870,982 "
 P.S. 371 - Lillian L. Rashkis , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$15,159,629 ",0.00%,"$15,159,629 "
 P.S. 372 -The Children's School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$15,105,054 ",0.00%,"$15,105,054 "
 P.S. 373 - Brooklyn Transition Center , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$23,167,460 ",0.00%,"$23,167,460 "
 P.S. K396 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$37,796,840 ",0.00%,"$37,796,840 "
 P.S. K721 - Brooklyn Occupational Training Center , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$28,157,858 ",0.00%,"$28,157,858 "
 P.S. K753 - School for Career Development , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$16,501,793 ",0.00%,"$16,501,793 "
 P.S. K771 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$40,225,331 ",0.00%,"$40,225,331 "
 P.S. K811 Connie Lekas School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$24,226,705 ",0.00%,"$24,226,705 "
 P.S. 035 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$14,592,880 ",0.00%,"$14,592,880 "
 P.S. M079 - Horan School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$18,448,920 ",0.00%,"$18,448,920 "
 P.S. M094 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$34,451,170 ",0.00%,"$34,451,170 "
 P.S. 138 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$51,560,482 ",0.00%,"$51,560,482 "
 P.S. M169 - Robert F. Kennedy , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$23,370,136 ",0.00%,"$23,370,136 "
 P.S. M226 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$22,102,843 ",0.00%,"$22,102,843 "
 Hospital Schools , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$14,975,766 ",0.00%,"$14,975,766 "
 Home Instruction , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$54,391,430 ",0.00%,"$54,391,430 "
 P.S. M721 - Manhattan Occupational Training Center , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$15,246,308 ",0.00%,"$15,246,308 "
 Manhattan School for Career Development , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$12,383,749 ",0.00%,"$12,383,749 "
 P.S. M811 - Mickey Mantle School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$28,576,671 ",0.00%,"$28,576,671 "
 P.S. Q004 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$31,458,250 ",0.00%,"$31,458,250 "
 P.S. 009 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$42,927,211 ",0.00%,"$42,927,211 "
 P.S. Q023 @ Queens Children Center , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$17,687,989 ",0.00%,"$17,687,989 "
 Robert E. Peary School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$41,472,542 ",0.00%,"$41,472,542 "
 P.S. Q177 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$36,385,099 ",0.00%,"$36,385,099 "
 P.S. Q224 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$31,049,278 ",0.00%,"$31,049,278 "
 P.S. Q233 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$34,994,524 ",0.00%,"$34,994,524 "
 P.S. Q255 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$36,902,708 ",0.00%,"$36,902,708 "
 P.S. Q256 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$40,064,362 ",0.00%,"$40,064,362 "
 The Riverview School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$34,407,719 ",0.00%,"$34,407,719 "
 John F. Kennedy Jr. School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$31,830,275 ",0.00%,"$31,830,275 "
 Queens Transition Center , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$24,658,956 ",0.00%,"$24,658,956 "
 P.S. Q811 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$32,913,837 ",0.00%,"$32,913,837 "
 P.S. Q993 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$45,999,204 ",0.00%,"$45,999,204 "
 South Richmond High School I.S./P.S. 25 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$35,603,579 ",0.00%,"$35,603,579 "
 P.S. R037 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$38,913,678 ",0.00%,"$38,913,678 "
 P.S. R373 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$47,141,061 ",0.00%,"$47,141,061 "
 The Richard H. Hungerford School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$39,522,005 ",0.00%,"$39,522,005 "
 P.S. X010 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$42,525,050 ",0.00%,"$42,525,050 "
 P.S. X012 Lewis and Clark School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$15,812,979 ",0.00%,"$15,812,979 "
 P.S. X017 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$32,579,415 ",0.00%,"$32,579,415 "
 P.S. 168 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$35,601,416 ",0.00%,"$35,601,416 "
 P.S. X176 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$39,350,278 ",0.00%,"$39,350,278 "
 P186X Walter J. Damrosch School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$51,146,234 ",0.00%,"$51,146,234 "
 P.S. X188 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$32,463,284 ",0.00%,"$32,463,284 "
 The Vida Bogart School for All Children , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$32,460,290 ",0.00%,"$32,460,290 "
 P469X - The Bronx School for Continuous Learners , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$21,438,405 ",0.00%,"$21,438,405 "
 P.S. X596 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$34,558,543 ",0.00%,"$34,558,543 "
 P.S. X721 - Stephen McSweeney School , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$31,134,770 ",0.00%,"$31,134,770 "
 P.S. 723 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$33,152,197 ",0.00%,"$33,152,197 "
 J. M. Rapport School Career Development , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$21,204,787 ",0.00%,"$21,204,787 "
 P.S. X811 , D75 , N/A , N/A , N/A ,N/A, N/A , N/A , N/A , N/A , N/A ,"$43,190,452 ",0.00%,"$43,190,452 "
 P.S. 015 Roberto Clemente , Elementary School ,"$1,526,686 ","$1,526,686 ", $-   ,100%,"$357,576 ","$409,492 ","$2,293,754 ","$2,293,754 ", $-   ,"$5,736,241 ",39.99%,"$3,442,487 "
 P.S. 019 Asher Levy , Elementary School ,"$2,029,150 ","$2,241,957 ","$212,807 ",91%,"$357,576 ","$404,528 ","$2,791,254 ","$3,042,427 ","$251,173 ","$7,769,678 ",35.92%,"$4,978,424 "
 P.S. 020 Anna Silver , Elementary School ,"$3,908,934 ","$4,343,260 ","$434,326 ",90%,"$357,576 ","$728,280 ","$4,994,790 ","$5,507,418 ","$512,628 ","$9,004,511 ",55.47%,"$4,009,721 "
 The STAR Academy - P.S.63 , Elementary School ,"$2,235,294 ","$2,205,763 ", $-   ,101%,"$357,576 ","$452,123 ","$3,044,993 ","$3,044,993 ", $-   ,"$5,738,967 ",53.06%,"$2,693,974 "
 P.S. 064 Robert Simon , Elementary School ,"$1,920,541 ","$2,133,934 ","$213,393 ",90%,"$357,576 ","$420,008 ","$2,698,125 ","$2,949,989 ","$251,864 ","$5,519,577 ",48.88%,"$2,821,452 "
