dbn,School Name,School Type,Weighted Register Allocation,Weighted Register Allocation If FSF Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs, Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs , Total Budget Allocation ,FSF as % of Total Budget Allocation,Non-FSF Budget Allocations
01M015,P.S. 015 Roberto Clemente,Elementary School,"$1,701,912 ","$1,701,912 ", $-   ,100.00%,"$352,453 ","$694,088 ","$2,748,453 ","$2,748,453 ", $-   ,"$4,899,076 ",56%,"$2,150,623 "
01M019,P.S. 019 Asher Levy,Elementary School,"$1,795,542 ","$1,981,185 ","$185,643 ",90.63%,"$352,453 ","$549,965 ","$2,697,960 ","$2,932,963 ","$235,004 ","$7,678,820 ",35%,"$4,980,860 "
01M020,P.S. 020 Anna Silver,Elementary School,"$3,284,024 ","$3,643,726 ","$359,703 ",90.13%,"$352,453 ","$957,421 ","$4,593,898 ","$5,049,242 ","$455,344 ","$8,968,585 ",51%,"$4,374,687 "
01M063,The STAR Academy - P.S.63,Elementary School,"$1,968,510 ","$1,962,074 ", $-   ,100.33%,"$352,453 ","$635,793 ","$2,956,756 ","$2,956,756 ", $-   ,"$6,076,584 ",49%,"$3,119,828 "
01M064,P.S. 064 Robert Simon,Elementary School,"$1,829,091 ","$2,029,314 ","$200,223 ",90.13%,"$352,453 ","$606,160 ","$2,787,704 ","$3,041,164 ","$253,460 ","$5,409,886 ",52%,"$2,622,183 "
01M110,P.S. 110 Florence Nightingale,Elementary School,"$2,539,646 ","$2,798,096 ","$258,450 ",90.76%,"$352,453 ","$723,914 ","$3,616,013 ","$3,943,182 ","$327,169 ","$5,700,522 ",63%,"$2,084,509 "
01M134,P.S. 134 Henrietta Szold,Elementary School,"$2,263,473 ","$2,279,347 ","$15,874 ",99.30%,"$352,453 ","$818,562 ","$3,434,488 ","$3,454,583 ","$20,095 ","$6,891,422 ",50%,"$3,456,934 "
01M142,P.S. 142 Amalia Castro,Elementary School,"$2,571,442 ","$2,853,096 ","$281,654 ",90.13%,"$352,453 ","$754,424 ","$3,678,318 ","$4,034,861 ","$356,543 ","$8,000,171 ",46%,"$4,321,853 "
01M315,The East Village Community School,Elementary School,"$2,292,454 ","$2,276,050 ", $-   ,100.72%,"$352,453 ","$675,620 ","$3,320,527 ","$3,320,527 ", $-   ,"$5,073,746 ",65%,"$1,753,219 "
01M361,The Children's Workshop School,Elementary School,"$2,608,051 ","$2,667,693 ","$59,641 ",97.76%,"$352,453 ","$803,245 ","$3,763,750 ","$3,839,249 ","$75,499 ","$6,139,326 ",61%,"$2,375,576 "
01M363,Neighborhood School,Elementary School,"$2,073,695 ","$2,300,827 ","$227,132 ",90.13%,"$352,453 ","$658,960 ","$3,085,108 ","$3,372,633 ","$287,524 ","$5,251,919 ",59%,"$2,166,810 "
01M364,Earth School,Elementary School,"$2,411,928 ","$2,672,361 ","$260,433 ",90.25%,"$352,453 ","$739,301 ","$3,503,682 ","$3,833,361 ","$329,679 ","$6,740,101 ",52%,"$3,236,419 "
02M001,P.S. 001 Alfred E. Smith,Elementary School,"$1,960,156 ","$2,174,854 ","$214,697 ",90.13%,"$352,453 ","$610,687 ","$2,923,296 ","$3,195,079 ","$271,783 ","$5,952,831 ",49%,"$3,029,535 "
02M002,P.S. 002 Meyer London,Elementary School,"$3,738,511 ","$4,147,993 ","$409,482 ",90.13%,"$352,453 ","$1,200,195 ","$5,291,160 ","$5,809,519 ","$518,359 ","$10,252,624 ",52%,"$4,961,465 "
02M003,P.S. 003 Charrette School,Elementary School,"$4,199,852 ","$4,659,866 ","$460,014 ",90.13%,"$352,453 ","$1,186,390 ","$5,738,695 ","$6,321,022 ","$582,327 ","$11,323,545 ",51%,"$5,584,850 "
02M006,P.S. 006 Lillie D. Blake,Elementary School,"$3,709,098 ","$4,115,359 ","$406,261 ",90.13%,"$352,453 ","$1,072,247 ","$5,133,798 ","$5,648,080 ","$514,282 ","$8,555,345 ",60%,"$3,421,547 "
02M011,P.S. 011 William T. Harris,Elementary School,"$5,653,632 ","$6,268,200 ","$614,569 ",90.20%,"$352,453 ","$1,645,317 ","$7,651,402 ","$8,429,379 ","$777,977 ","$11,955,872 ",64%,"$4,304,470 "
02M033,P.S. 033 Chelsea Prep,Elementary School,"$3,904,897 ","$4,332,603 ","$427,706 ",90.13%,"$352,453 ","$1,075,350 ","$5,332,701 ","$5,874,129 ","$541,429 ","$8,467,577 ",63%,"$3,134,877 "
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary School,"$4,274,246 ","$4,717,733 ","$443,486 ",90.60%,"$352,453 ","$1,114,109 ","$5,740,808 ","$6,302,213 ","$561,404 ","$9,045,907 ",63%,"$3,305,098 "
02M041,P.S. 041 Greenwich Village,Elementary School,"$3,480,338 ","$3,859,866 ","$379,528 ",90.17%,"$352,453 ","$1,015,084 ","$4,847,875 ","$5,328,316 ","$480,441 ","$9,737,361 ",50%,"$4,889,486 "
02M042,P.S. 042 Benjamin Altman,Elementary School,"$4,438,629 ","$4,924,795 ","$486,166 ",90.13%,"$352,453 ","$1,231,056 ","$6,022,138 ","$6,637,571 ","$615,433 ","$12,075,805 ",50%,"$6,053,667 "
02M051,P.S. 051 Elias Howe,Elementary School,"$3,505,707 ","$3,836,293 ","$330,585 ",91.38%,"$352,453 ","$994,266 ","$4,852,426 ","$5,270,910 ","$418,484 ","$8,863,959 ",55%,"$4,011,533 "
02M059,P.S. 059 Beekman Hill International,Elementary School,"$4,252,468 ","$4,596,366 ","$343,899 ",92.52%,"$352,453 ","$1,207,262 ","$5,812,183 ","$6,247,521 ","$435,338 ","$8,445,087 ",69%,"$2,632,904 "
02M077,P.S. 77 Lower Lab School,Elementary School,"$2,113,611 ","$2,341,797 ","$228,186 ",90.26%,"$352,453 ","$616,102 ","$3,082,167 ","$3,371,025 ","$288,858 ","$4,252,417 ",72%,"$1,170,250 "
02M089,P.S. 89,Elementary School,"$2,357,766 ","$2,588,229 ","$230,464 ",91.10%,"$352,453 ","$736,093 ","$3,446,312 ","$3,738,054 ","$291,742 ","$7,042,123 ",49%,"$3,595,811 "
02M111,P.S. 111 Adolph S. Ochs,Elementary School,"$3,070,539 ","$3,361,645 ","$291,106 ",91.34%,"$352,453 ","$931,656 ","$4,354,648 ","$4,723,156 ","$368,508 ","$9,100,628 ",48%,"$4,745,980 "
02M116,P.S. 116 Mary Lindley Murray,Elementary School,"$2,812,199 ","$3,120,221 ","$308,022 ",90.13%,"$352,453 ","$950,994 ","$4,115,645 ","$4,505,567 ","$389,922 ","$8,103,912 ",51%,"$3,988,267 "
02M124,P.S. 124 Yung Wing,Elementary School,"$4,545,062 ","$5,042,882 ","$497,820 ",90.13%,"$352,453 ","$1,298,675 ","$6,196,190 ","$6,826,376 ","$630,185 ","$9,952,509 ",62%,"$3,756,318 "
02M130,P.S. 130 Hernando De Soto,Elementary School,"$5,560,238 ","$6,169,254 ","$609,016 ",90.13%,"$352,453 ","$1,542,401 ","$7,455,092 ","$8,226,039 ","$770,947 ","$11,333,833 ",66%,"$3,878,741 "
02M150,P.S. 150,Elementary School,"$1,055,953 ","$1,167,832 ","$111,880 ",90.42%,"$352,453 ","$365,046 ","$1,773,452 ","$1,915,080 ","$141,628 ","$2,719,457 ",65%,"$946,005 "
02M151,Yorkville Community School,Elementary School,"$3,200,334 ","$3,258,887 ","$58,553 ",98.20%,"$352,453 ","$968,253 ","$4,521,040 ","$4,595,162 ","$74,122 ","$8,098,757 ",56%,"$3,577,716 "
02M158,P.S. 158 Bayard Taylor,Elementary School,"$4,337,978 ","$4,812,486 ","$474,508 ",90.14%,"$352,453 ","$1,165,990 ","$5,856,421 ","$6,457,096 ","$600,675 ","$10,524,191 ",56%,"$4,667,770 "
02M183,P.S. 183 Robert L. Stevenson,Elementary School,"$3,793,234 ","$4,162,202 ","$368,968 ",91.14%,"$352,453 ","$1,057,009 ","$5,202,695 ","$5,669,768 ","$467,073 ","$8,620,527 ",60%,"$3,417,832 "
02M198,P.S. 198 Isador E. Ida Straus,Elementary School,"$3,338,341 ","$3,675,760 ","$337,420 ",90.82%,"$352,453 ","$938,946 ","$4,629,740 ","$5,056,876 ","$427,137 ","$7,904,945 ",59%,"$3,275,206 "
02M212,P.S. 212 Midtown West,Elementary School,"$1,869,161 ","$2,066,788 ","$197,628 ",90.44%,"$352,453 ","$526,131 ","$2,747,745 ","$2,997,920 ","$250,175 ","$4,411,459 ",62%,"$1,663,714 "
02M234,P.S. 234 Independence School,Elementary School,"$3,499,313 ","$3,880,545 ","$381,232 ",90.18%,"$352,453 ","$1,010,113 ","$4,861,880 ","$5,344,477 ","$482,598 ","$8,441,861 ",58%,"$3,579,981 "
02M267,"East Side Elementary School, PS 267",Elementary School,"$3,154,586 ","$3,138,934 ", $-   ,100.50%,"$352,453 ","$893,408 ","$4,400,446 ","$4,400,446 ", $-   ,"$6,271,964 ",70%,"$1,871,517 "
02M281,The River School,Elementary School,"$3,417,765 ","$3,417,765 ", $-   ,100.00%,"$352,453 ","$891,788 ","$4,662,006 ","$4,662,006 ", $-   ,"$6,528,315 ",71%,"$1,866,310 "
02M290,P.S. 290 Manhattan New School,Elementary School,"$3,041,492 ","$3,374,628 ","$333,136 ",90.13%,"$352,453 ","$924,196 ","$4,318,142 ","$4,739,855 ","$421,713 ","$8,300,212 ",52%,"$3,982,070 "
02M340,Sixth Avenue Elementary School,Elementary School,"$2,511,222 ","$2,511,222 ", $-   ,100.00%,"$352,453 ","$792,130 ","$3,655,805 ","$3,655,805 ", $-   ,"$6,281,491 ",58%,"$2,625,686 "
02M343,The Peck Slip School,Elementary School,"$2,975,795 ","$2,975,795 ", $-   ,100.00%,"$352,453 ","$908,394 ","$4,236,642 ","$4,236,642 ", $-   ,"$7,278,365 ",58%,"$3,041,724 "
02M527,P.S. 527 - East Side School for Social Action,Elementary School,"$3,985,040 ","$3,985,040 ", $-   ,100.00%,"$352,453 ","$1,193,488 ","$5,530,981 ","$5,530,981 ", $-   ,"$7,442,872 ",74%,"$1,911,891 "
