DBN,School Name,School Type,Weighted Register Allocation,Weighted Register Allocation If FSF Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs, Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs , Total Budget Allocation ,FSF as % of Total Budget Allocation,Non-FSF Budget Allocations
01M015,P.S. 015 Roberto Clemente,Elementary School,"$1,512,984 ","$1,512,984 ", $-   ,100.00%,"$332,723 ","$574,322 ","$2,420,029 ","$2,420,029 ", $-   ,"$5,734,762 ",42%,"$3,314,734 "
01M019,P.S. 019 Asher Levy,Elementary School,"$1,555,818 ","$1,555,818 ", $-   ,100.00%,"$332,723 ","$515,295 ","$2,403,836 ","$2,403,836 ", $-   ,"$8,536,511 ",28%,"$6,132,675 "
01M020,P.S. 020 Anna Silver,Elementary School,"$2,873,110 ","$2,873,110 ", $-   ,100.00%,"$332,723 ","$921,991 ","$4,127,824 ","$4,127,824 ", $-   ,"$8,978,719 ",46%,"$4,850,895 "
01M063,The STAR Academy - P.S.63,Elementary School,"$1,645,678 ","$1,645,678 ", $-   ,100.00%,"$332,723 ","$578,892 ","$2,557,294 ","$2,557,294 ", $-   ,"$6,293,443 ",41%,"$3,736,149 "
01M064,P.S. 064 Robert Simon,Elementary School,"$1,816,256 ","$1,816,256 ", $-   ,100.00%,"$332,723 ","$639,245 ","$2,788,225 ","$2,788,225 ", $-   ,"$5,963,713 ",47%,"$3,175,489 "
01M110,P.S. 110 Florence Nightingale,Elementary School,"$2,486,860 ","$2,486,860 ", $-   ,100.00%,"$332,723 ","$741,137 ","$3,560,720 ","$3,560,720 ", $-   ,"$6,474,218 ",55%,"$2,913,498 "
01M134,P.S. 134 Henrietta Szold,Elementary School,"$1,720,343 ","$1,720,343 ", $-   ,100.00%,"$332,723 ","$619,170 ","$2,672,236 ","$2,672,236 ", $-   ,"$6,534,915 ",41%,"$3,862,679 "
01M142,P.S. 142 Amalia Castro,Elementary School,"$2,615,682 ","$2,615,682 ", $-   ,100.00%,"$332,723 ","$869,577 ","$3,817,982 ","$3,817,982 ", $-   ,"$9,275,436 ",41%,"$5,457,454 "
01M315,The East Village Community School,Elementary School,"$2,208,037 ","$2,208,037 ", $-   ,100.00%,"$332,723 ","$712,408 ","$3,253,167 ","$3,253,167 ", $-   ,"$5,690,681 ",57%,"$2,437,514 "
01M361,The Children's Workshop School,Elementary School,"$2,242,264 ","$2,242,264 ", $-   ,100.00%,"$332,723 ","$650,864 ","$3,225,852 ","$3,225,852 ", $-   ,"$6,238,766 ",52%,"$3,012,914 "
01M363,Neighborhood School,Elementary School,"$1,997,503 ","$1,997,503 ", $-   ,100.00%,"$332,723 ","$655,845 ","$2,986,071 ","$2,986,071 ", $-   ,"$5,428,000 ",55%,"$2,441,930 "
01M364,Earth School,Elementary School,"$2,053,215 ","$2,053,215 ", $-   ,100.00%,"$332,723 ","$618,325 ","$3,004,264 ","$3,004,264 ", $-   ,"$6,709,579 ",45%,"$3,705,316 "
02M001,P.S. 001 Alfred E. Smith,Elementary School,"$1,777,987 ","$1,777,987 ", $-   ,100.00%,"$332,723 ","$536,635 ","$2,647,345 ","$2,647,345 ", $-   ,"$6,293,040 ",42%,"$3,645,695 "
02M002,P.S. 002 Meyer London,Elementary School,"$3,521,965 ","$3,521,965 ", $-   ,100.00%,"$332,723 ","$1,118,972 ","$4,973,660 ","$4,973,660 ", $-   ,"$11,599,540 ",43%,"$6,625,881 "
02M003,P.S. 003 Charrette School,Elementary School,"$4,157,055 ","$4,157,055 ", $-   ,100.00%,"$332,723 ","$1,278,671 ","$5,768,450 ","$5,768,450 ", $-   ,"$11,845,158 ",49%,"$6,076,709 "
02M006,P.S. 006 Lillie D. Blake,Elementary School,"$3,767,895 ","$3,767,895 ", $-   ,100.00%,"$332,723 ","$1,172,187 ","$5,272,804 ","$5,272,804 ", $-   ,"$9,403,258 ",56%,"$4,130,454 "
02M011,P.S. 011 William T. Harris,Elementary School,"$5,318,516 ","$5,318,516 ", $-   ,100.00%,"$332,723 ","$1,510,761 ","$7,162,001 ","$7,162,001 ", $-   ,"$12,020,573 ",60%,"$4,858,572 "
02M033,P.S. 033 Chelsea Prep,Elementary School,"$3,889,865 ","$3,889,865 ", $-   ,100.00%,"$332,723 ","$1,169,086 ","$5,391,674 ","$5,391,674 ", $-   ,"$8,794,940 ",61%,"$3,403,266 "
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary School,"$4,380,528 ","$4,380,528 ", $-   ,100.00%,"$332,723 ","$1,168,799 ","$5,882,050 ","$5,882,050 ", $-   ,"$9,487,434 ",62%,"$3,605,384 "
02M041,P.S. 041 Greenwich Village,Elementary School,"$3,245,327 ","$3,245,327 ", $-   ,100.00%,"$332,723 ","$913,946 ","$4,491,996 ","$4,491,996 ", $-   ,"$9,524,361 ",47%,"$5,032,364 "
02M042,P.S. 042 Benjamin Altman,Elementary School,"$4,468,197 ","$4,468,197 ", $-   ,100.00%,"$332,723 ","$1,222,861 ","$6,023,781 ","$6,023,781 ", $-   ,"$13,090,835 ",46%,"$7,067,054 "
02M051,P.S. 051 Elias Howe,Elementary School,"$3,394,381 ","$3,394,381 ", $-   ,100.00%,"$332,723 ","$1,047,248 ","$4,774,353 ","$4,774,353 ", $-   ,"$9,479,679 ",50%,"$4,705,326 "
02M059,P.S. 059 Beekman Hill International,Elementary School,"$4,043,185 ","$4,043,185 ", $-   ,100.00%,"$332,723 ","$1,198,209 ","$5,574,117 ","$5,574,117 ", $-   ,"$8,804,999 ",63%,"$3,230,882 "
02M077,P.S. 77 Lower Lab School,Elementary School,"$2,223,042 ","$2,223,042 ", $-   ,100.00%,"$332,723 ","$691,972 ","$3,247,737 ","$3,247,737 ", $-   ,"$4,384,458 ",74%,"$1,136,720 "
02M089,P.S. 89,Elementary School,"$2,456,772 ","$2,456,772 ", $-   ,100.00%,"$332,723 ","$872,416 ","$3,661,911 ","$3,661,911 ", $-   ,"$6,883,399 ",53%,"$3,221,488 "
02M111,P.S. 111 Adolph S. Ochs,Elementary School,"$2,751,101 ","$2,751,101 ", $-   ,100.00%,"$332,723 ","$912,213 ","$3,996,038 ","$3,996,038 ", $-   ,"$9,434,559 ",42%,"$5,438,521 "
02M116,P.S. 116 Mary Lindley Murray,Elementary School,"$2,716,831 ","$2,716,831 ", $-   ,100.00%,"$332,723 ","$758,023 ","$3,807,577 ","$3,807,577 ", $-   ,"$7,939,698 ",48%,"$4,132,121 "
02M124,P.S. 124 Yung Wing,Elementary School,"$4,342,295 ","$4,342,295 ", $-   ,100.00%,"$332,723 ","$1,307,309 ","$5,982,327 ","$5,982,327 ", $-   ,"$11,059,803 ",54%,"$5,077,476 "
02M130,P.S. 130 Hernando De Soto,Elementary School,"$5,173,019 ","$5,173,019 ", $-   ,100.00%,"$332,723 ","$1,569,931 ","$7,075,673 ","$7,075,673 ", $-   ,"$12,497,639 ",57%,"$5,421,966 "
02M150,P.S. 150,Elementary School,"$912,754 ","$912,754 ", $-   ,100.00%,"$332,723 ","$337,439 ","$1,582,916 ","$1,582,916 ", $-   ,"$2,799,065 ",57%,"$1,216,149 "
02M151,Yorkville Community School,Elementary School,"$2,755,016 ","$2,755,016 ", $-   ,100.00%,"$332,723 ","$891,611 ","$3,979,350 ","$3,979,350 ", $-   ,"$7,724,201 ",52%,"$3,744,851 "
02M158,P.S. 158 Bayard Taylor,Elementary School,"$4,439,160 ","$4,439,160 ", $-   ,100.00%,"$332,723 ","$1,280,150 ","$6,052,033 ","$6,052,033 ", $-   ,"$11,150,471 ",54%,"$5,098,438 "
02M183,P.S. 183 Robert L. Stevenson,Elementary School,"$3,616,903 ","$3,616,903 ", $-   ,100.00%,"$332,723 ","$1,096,552 ","$5,046,179 ","$5,046,179 ", $-   ,"$8,763,458 ",58%,"$3,717,280 "
02M198,P.S. 198 Isador E. Ida Straus,Elementary School,"$3,080,203 ","$3,080,203 ", $-   ,100.00%,"$332,723 ","$956,708 ","$4,369,634 ","$4,369,634 ", $-   ,"$8,124,885 ",54%,"$3,755,251 "
02M212,P.S. 212 Midtown West,Elementary School,"$1,787,964 ","$1,787,964 ", $-   ,100.00%,"$332,723 ","$590,366 ","$2,711,053 ","$2,711,053 ", $-   ,"$5,576,248 ",49%,"$2,865,194 "
02M234,P.S. 234 Independence School,Elementary School,"$3,633,940 ","$3,633,940 ", $-   ,100.00%,"$332,723 ","$1,100,100 ","$5,066,763 ","$5,066,763 ", $-   ,"$8,289,764 ",61%,"$3,223,001 "
02M267,"East Side Elementary School, PS 267",Elementary School,"$2,915,835 ","$2,915,835 ", $-   ,100.00%,"$332,723 ","$858,432 ","$4,106,990 ","$4,106,990 ", $-   ,"$6,552,713 ",63%,"$2,445,724 "
02M281,The River School,Elementary School,"$3,151,385 ","$3,151,385 ", $-   ,100.00%,"$332,723 ","$860,403 ","$4,344,511 ","$4,344,511 ", $-   ,"$7,331,439 ",59%,"$2,986,928 "
02M290,P.S. 290 Manhattan New School,Elementary School,"$2,725,797 ","$2,725,797 ", $-   ,100.00%,"$332,723 ","$908,621 ","$3,967,141 ","$3,967,141 ", $-   ,"$7,888,717 ",50%,"$3,921,576 "
02M340,Sixth Avenue Elementary School,Elementary School,"$2,085,661 ","$2,085,661 ", $-   ,100.00%,"$332,723 ","$589,968 ","$3,008,353 ","$3,008,353 ", $-   ,"$6,402,165 ",47%,"$3,393,812 "
02M343,The Peck Slip School,Elementary School,"$2,546,999 ","$2,546,999 ", $-   ,100.00%,"$332,723 ","$826,356 ","$3,706,078 ","$3,706,078 ", $-   ,"$6,851,678 ",54%,"$3,145,601 "
02M527,P.S. 527 - East Side School for Social Action,Elementary School,"$3,616,023 ","$3,616,023 ", $-   ,100.00%,"$332,723 ","$1,120,635 ","$5,069,382 ","$5,069,382 ", $-   ,"$7,813,824 ",65%,"$2,744,442 "
03M009,P.S. 009 Sarah Anderson,Elementary School,"$3,595,838 ","$3,595,838 ", $-   ,100.00%,"$332,723 ","$1,045,922 ","$4,974,483 ","$4,974,483 ", $-   ,"$8,413,163 ",59%,"$3,438,679 "
03M075,P.S. 075 Emily Dickinson,Elementary School,"$4,394,467 ","$4,394,467 ", $-   ,100.00%,"$332,723 ","$1,339,246 ","$6,066,436 ","$6,066,436 ", $-   ,"$16,873,762 ",36%,"$10,807,326 "
03M084,P.S. 084 Lillian Weber,Elementary School,"$3,588,156 ","$3,588,156 ", $-   ,100.00%,"$332,723 ","$1,162,385 ","$5,083,265 ","$5,083,265 ", $-   ,"$11,297,834 ",45%,"$6,214,570 "
