DBN,School Name,School Type, Weighted Register Allocation , Weighted Register Allocation If FSF Fully Funded ,Weighted Register Allocation Gap to 100%,% Funded," Foundation 
(not included in the funding %) ", Collective Bargaining for School Based Staff (not included in the funding %) , Total FSF Allocation Including Foundation and Collective Bargaining Costs , Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs , Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs , Total Budget Allocation ,FSF as % of Total Budget Allocation, Non-FSF Budget Allocations 
01M015,P.S. 015 Roberto Clemente,Elementary School,"$1,639,863 ","$1,639,863 ", -   ,100.00%,"$333,803 ","$497,186 ","$2,470,852 ","$2,470,852 ", $-   ,"$5,457,605 ",45%,"$2,986,752 "
01M020,P.S. 020 Anna Silver,Elementary School,"$2,597,840 ","$2,597,840 ", -   ,100.00%,"$333,803 ","$778,413 ","$3,710,056 ","$3,710,056 ", $-   ,"$8,105,570 ",46%,"$4,395,513 "
01M063,The STAR Academy - P.S.63,Elementary School,"$1,472,212 ","$1,472,212 ", -   ,100.00%,"$333,803 ","$522,303 ","$2,328,318 ","$2,328,318 ", $-   ,"$5,281,748 ",44%,"$2,953,429 "
01M064,P.S. 064 Robert Simon,Elementary School,"$1,590,411 ","$1,590,411 ", -   ,100.00%,"$333,803 ","$539,178 ","$2,463,393 ","$2,463,393 ", $-   ,"$4,963,536 ",50%,"$2,500,143 "
01M110,P.S. 110 Florence Nightingale,Elementary School,"$2,251,182 ","$2,251,182 ", -   ,100.00%,"$333,803 ","$665,847 ","$3,250,832 ","$3,250,832 ", $-   ,"$5,746,053 ",57%,"$2,495,221 "
01M134,P.S. 134 Henrietta Szold,Elementary School,"$1,665,152 ","$1,665,152 ", -   ,100.00%,"$333,803 ","$565,694 ","$2,564,650 ","$2,564,650 ", $-   ,"$6,048,376 ",42%,"$3,483,726 "
01M142,P.S. 142 Amalia Castro,Elementary School,"$2,658,864 ","$2,658,864 ", -   ,100.00%,"$333,803 ","$898,192 ","$3,890,859 ","$3,890,859 ", $-   ,"$8,957,075 ",43%,"$5,066,216 "
01M315,The East Village Community School,Elementary School,"$3,660,490 ","$3,660,490 ", -   ,100.00%,"$333,803 ","$1,093,388 ","$5,087,682 ","$5,087,682 ", $-   ,"$12,299,354 ",41%,"$7,211,672 "
01M361,The Children's Workshop School,Elementary School,"$2,084,545 ","$2,084,545 ", -   ,100.00%,"$333,803 ","$665,901 ","$3,084,249 ","$3,084,249 ", $-   ,"$5,185,129 ",59%,"$2,100,880 "
01M363,Neighborhood School,Elementary School,"$1,982,356 ","$1,982,356 ", -   ,100.00%,"$333,803 ","$613,262 ","$2,929,421 ","$2,929,421 ", $-   ,"$5,455,239 ",54%,"$2,525,818 "
01M364,Earth School,Elementary School,"$1,880,298 ","$1,880,298 ", -   ,100.00%,"$333,803 ","$544,672 ","$2,758,773 ","$2,758,773 ", $-   ,"$5,943,481 ",46%,"$3,184,708 "
02M001,P.S. 001 Alfred E. Smith,Elementary School,"$1,626,858 ","$1,626,858 ", -   ,100.00%,"$333,803 ","$455,747 ","$2,416,408 ","$2,416,408 ", $-   ,"$5,870,273 ",41%,"$3,453,864 "
02M002,P.S. 002 Meyer London,Elementary School,"$3,300,420 ","$3,300,420 ", -   ,100.00%,"$333,803 ","$989,992 ","$4,624,216 ","$4,624,216 ", $-   ,"$10,401,475 ",44%,"$5,777,259 "
02M003,P.S. 003 Charrette School,Elementary School,"$3,888,008 ","$3,888,008 ", -   ,100.00%,"$333,803 ","$1,089,182 ","$5,310,993 ","$5,310,993 ", $-   ,"$11,372,349 ",47%,"$6,061,356 "
02M006,P.S. 006 Lillie D. Blake,Elementary School,"$3,754,553 ","$3,754,553 ", -   ,100.00%,"$333,803 ","$1,186,244 ","$5,274,600 ","$5,274,600 ", $-   ,"$9,210,368 ",57%,"$3,935,768 "
02M011,P.S. 011 William T. Harris,Elementary School,"$5,620,229 ","$5,620,229 ", -   ,100.00%,"$333,803 ","$1,624,667 ","$7,578,699 ","$7,578,699 ", $-   ,"$11,182,294 ",68%,"$3,603,595 "
02M033,P.S. 033 Chelsea Prep,Elementary School,"$4,317,886 ","$4,317,886 ", -   ,100.00%,"$333,803 ","$1,289,761 ","$5,941,450 ","$5,941,450 ", $-   ,"$9,212,809 ",64%,"$3,271,359 "
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary School,"$4,438,326 ","$4,438,326 ", -   ,100.00%,"$333,803 ","$1,243,348 ","$6,015,477 ","$6,015,477 ", $-   ,"$8,917,990 ",67%,"$2,902,513 "
02M041,P.S. 041 Greenwich Village,Elementary School,"$3,249,939 ","$3,249,939 ", -   ,100.00%,"$333,803 ","$910,434 ","$4,494,177 ","$4,494,177 ", $-   ,"$8,648,483 ",52%,"$4,154,306 "
02M042,P.S. 042 Benjamin Altman,Elementary School,"$4,221,756 ","$4,221,756 ", -   ,100.00%,"$333,803 ","$1,182,679 ","$5,738,238 ","$5,738,238 ", $-   ,"$13,156,341 ",44%,"$7,418,103 "
02M051,P.S. 051 Elias Howe,Elementary School,"$3,853,466 ","$3,853,466 ", -   ,100.00%,"$333,803 ","$1,140,830 ","$5,328,099 ","$5,328,099 ", $-   ,"$10,032,512 ",53%,"$4,704,413 "
02M059,P.S. 059 Beekman Hill International,Elementary School,"$3,860,471 ","$3,860,471 ", -   ,100.00%,"$333,803 ","$1,126,732 ","$5,321,006 ","$5,321,006 ", $-   ,"$7,967,987 ",67%,"$2,646,981 "
02M077,P.S. 77 Lower Lab School,Elementary School,"$2,374,167 ","$2,374,167 ", -   ,100.00%,"$333,803 ","$665,096 ","$3,373,066 ","$3,373,066 ", $-   ,"$4,549,469 ",74%,"$1,176,402 "
02M089,P.S. 89,Elementary School,"$2,415,640 ","$2,415,640 ", -   ,100.00%,"$333,803 ","$781,578 ","$3,531,021 ","$3,531,021 ", $-   ,"$6,383,089 ",55%,"$2,852,068 "
02M111,P.S. 111 Adolph S. Ochs,Elementary School,"$3,155,208 ","$3,155,208 ", -   ,100.00%,"$333,803 ","$972,693 ","$4,461,704 ","$4,461,704 ", $-   ,"$9,232,097 ",48%,"$4,770,393 "
02M116,P.S. 116 Mary Lindley Murray,Elementary School,"$2,849,602 ","$2,849,602 ", -   ,100.00%,"$333,803 ","$890,500 ","$4,073,905 ","$4,073,905 ", $-   ,"$7,350,434 ",55%,"$3,276,529 "
