School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
"""47"" The American Sign Language and English Secondary School",6,"2017, 2018, 2019, 2020, 2022, 2023",Special Education,High school,10010,Gramercy Park - Murray Hill,0.0,0.0,100.0,0.0,61.4,44.0
A-Tech High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11222,Greenpoint,0.0,44.77,55.23,0.0,61.76,51.73
A. Philip Randolph Campus High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10031,Washington Heights - Inwood,0.0,36.2,63.8,0.0,67.18,59.49
Abraham Lincoln High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11235,Coney Island - Sheepshead Bay ,13.68,44.47,26.76,15.09,61.48,44.27
Academy for Careers in Television and Film,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11101,Long Island City - Astoria,0.0,16.86,68.6,14.53,68.58,65.7
Academy for College Preparation and Career Exploration: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11226,East Flatbush - Flatbush,0.0,86.76,13.24,0.0,65.25,63.23
Academy for Conservation and the Environment,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11236,Canarsie - Flatlands,12.17,75.65,12.17,0.0,69.61,63.5
Academy for Excellence in Leadership,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11237,Williamsburg - Bushwick,0.0,10.19,89.81,0.0,60.94,39.84
Academy for Health Careers,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11213,Bedford Stuyvesant - Crown Heights,0.0,77.97,22.03,0.0,61.64,57.58
Academy for Scholarship and Entrepreneurship: A College Board School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10466,Northeast Bronx,0.0,64.55,35.45,0.0,56.81,33.62
