year,school_name_x,school_name_y,ptr
2019,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.6
2020,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.7
2022,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.8
2019,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.9
2020,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.5
2022,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.3
2019,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,16.0
2020,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,14.2
2022,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,14.5
2019,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,13.0
2020,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,12.2
2022,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,11.8
2019,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,10.8
2020,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,12.4
2022,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,12.9
2019,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,12.9
2020,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,12.7
2022,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,13.6
2019,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,13.0
2020,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,14.0
2022,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,13.0
2019,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,12.9
2020,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,11.9
2022,ACADEMY FOR SOFTWARE ENGINEERING,Academy for Software Engineering,12.0
2019,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,11.7
2020,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,10.9
2022,ACADEMY FOR YOUNG WRITERS,Academy for Young Writers,11.1
2019,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,21.6
2020,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,22.0
2022,ACADEMY OF AMERICAN STUDIES,Academy of American Studies,22.6
2019,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19.2
2020,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19.0
2022,ACADEMY OF FINANCE AND ENTERPRISE,Academy of Finance and Enterprise,19.0
2019,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,11.9
2020,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,13.1
2022,ACADEMY OF HOSPITALITY AND TOURISM,Academy of Hospitality and Tourism,12.6
2019,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,12.7
2020,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,13.1
2022,ACADEMY OF INNOVATIVE TECHNOLOGY,Academy of Innovative Technology,13.0
2019,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,12.8
2020,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,13.5
2022,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,13.2
2019,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,10.7
2020,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,12.2
2022,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,12.0
2019,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13.0
2020,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13.1
2022,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13.0
2019,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",14.0
