School Information,,,,Active Staff,,,Teachers,,,,,
DBN,Location Code,Location Name,Location Category,Leadership,Teachers,Other Staff,Male,,,Female,,
,,,,,,,Count,Average Years in Title,Average Years at School,Count,Average Years in Title,Average Years at School
01M015,M015,P.S. 015 ROBERTO CLEMENTE,ELEMENTARY,2,25,8,*,,,*,,
01M019,M019,P.S. 019 ASHER LEVY,ELEMENTARY,2,40,8,6,12.9,12.8,34,8.6,6.5
01M020,M020,P.S. 020 ANNA SILVER,ELEMENTARY,2,41,18,*,,,*,,
01M034,M034,P.S. 034 FRANKLIN D. ROOSEVELT,K-8,2,36,16,8,9.7,7.1,28,6.0,4.5
01M063,M063,THE STAR ACADEMY - P.S.63,ELEMENTARY,2,25,14,*,,,*,,
01M064,M064,P.S. 064 ROBERT SIMON,ELEMENTARY,2,25,10,*,,,*,,
01M110,M110,P.S. 110 FLORENCE NIGHTINGALE,ELEMENTARY,2,30,9,*,,,*,,
01M134,M134,P.S. 134 HENRIETTA SZOLD,ELEMENTARY,2,25,17,*,,,*,,
01M140,M140,P.S. 140 NATHAN STRAUS,K-8,1,42,13,7,16.1,10.6,35,8.5,6.2
01M142,M142,P.S. 142 AMALIA CASTRO,ELEMENTARY,2,41,22,6,5.8,2.4,35,6.6,4.2
01M184,M184,P.S. 184M SHUANG WEN,K-8,4,58,20,13,4.9,4.1,45,8.1,6.8
01M188,M188,P.S. 188 THE ISLAND SCHOOL,K-8,2,38,20,10,10.3,8.3,28,12.5,8.6
01M315,M315,THE EAST VILLAGE COMMUNITY SCHOOL,ELEMENTARY,2,25,13,*,,,*,,
01M332,M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,31,10,11,9.9,6.2,20,5.4,3.1
01M361,M361,THE CHILDREN'S WORKSHOP SCHOOL,ELEMENTARY,1,28,9,*,,,*,,
01M363,M363,NEIGHBORHOOD SCHOOL,ELEMENTARY,1,22,10,*,,,*,,
01M364,M364,EARTH SCHOOL,ELEMENTARY,1,28,15,*,,,*,,
01M378,M378,SCHOOL FOR GLOBAL LEADERS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,9,6,4.3,3.3,17,7.7,6.0
01M839,M839,TOMPKINS SQUARE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,32,8,7,13.2,11.4,25,9.1,5.9
02M001,M001,P.S. 001 ALFRED E. SMITH,ELEMENTARY,2,24,13,*,,,*,,
02M002,M002,P.S. 002 MEYER LONDON,ELEMENTARY,2,42,30,8,12.4,9.8,34,11.7,10.3
02M003,M003,P.S. 003 CHARRETTE SCHOOL,ELEMENTARY,2,52,18,8,10.7,5.6,44,10.9,8.8
02M006,M006,P.S. 006 LILLIE D. BLAKE,ELEMENTARY,3,41,9,*,,,*,,
02M011,M011,P.S. 011 WILLIAM T. HARRIS,ELEMENTARY,3,55,18,6,13.4,9.3,49,9.6,6.8
02M033,M033,P.S. 033 CHELSEA PREP,ELEMENTARY,2,40,12,*,,,*,,
02M040,M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,ELEMENTARY,2,41,12,8,14.2,13.1,33,10.0,7.7
02M041,M041,P.S. 041 GREENWICH VILLAGE,ELEMENTARY,2,39,21,5,10.8,4.6,34,10.0,8.9
02M042,M042,P.S. 042 BENJAMIN ALTMAN,ELEMENTARY,2,59,18,10,10.8,11.0,49,12.0,11.6
02M051,M051,P.S. 051 ELIAS HOWE,ELEMENTARY,2,40,22,5,4.5,3.5,35,7.8,4.6
02M059,M059,P.S. 059 BEEKMAN HILL INTERNATIONAL,ELEMENTARY,2,43,13,*,,,*,,
02M077,M077,P.S. 77 LOWER LAB SCHOOL,ELEMENTARY,1,18,6,*,,,*,,
02M089,M089,P.S. 89,ELEMENTARY,2,28,14,*,,,*,,
02M104,M104,J.H.S. 104 SIMON BARUCH,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,69,13,21,10.1,7.2,48,8.8,6.7
02M111,M111,P.S. 111 ADOLPH S. OCHS,ELEMENTARY,2,39,19,*,,,*,,
02M114,M114,EAST SIDE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,33,5,8,7.3,6.2,25,10.6,8.7
02M116,M116,P.S. 116 MARY LINDLEY MURRAY,ELEMENTARY,2,32,17,*,,,*,,
02M124,M124,P.S. 124 YUNG WING,ELEMENTARY,2,49,13,5,20.8,15.6,44,16.2,13.8
02M126,M126,P.S. 126 JACOB AUGUST RIIS,K-8,3,57,13,11,15.5,14.0,46,12.1,10.5
02M130,M130,P.S. 130 HERNANDO DE SOTO,ELEMENTARY,3,49,17,*,,,*,,
02M131,M131,M.S. 131,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,35,13,11,10.5,6.9,24,13.3,12.0
02M150,M150,P.S. 150,ELEMENTARY,1,10,6,*,,,*,,
02M151,M151,YORKVILLE COMMUNITY SCHOOL,ELEMENTARY,2,35,15,*,,,*,,
02M158,M158,P.S. 158 BAYARD TAYLOR,ELEMENTARY,2,51,21,5,16.4,10.1,46,6.4,5.8
02M167,M167,J.H.S. 167 ROBERT F. WAGNER,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,83,19,28,9.7,7.1,55,9.7,6.5
02M177,M177,YORKVILLE EAST MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,21,6,6,5.9,3.7,15,6.8,3.3
02M183,M183,P.S. 183 ROBERT L. STEVENSON,ELEMENTARY,2,40,14,*,,,*,,
02M198,M198,P.S. 198 ISADOR E. IDA STRAUS,ELEMENTARY,2,38,12,*,,,*,,
02M212,M212,P.S. 212 MIDTOWN WEST,ELEMENTARY,2,21,8,5,13.7,11.9,16,8.5,6.4
02M217,M217,P.S./I.S. 217 ROOSEVELT ISLAND,K-8,2,47,18,*,,,*,,
02M225,M225,ELLA BAKER SCHOOL,K-8,2,26,12,*,,,*,,
02M234,M234,P.S. 234 INDEPENDENCE SCHOOL,ELEMENTARY,2,42,13,5,3.9,2.9,37,8.0,6.9
02M255,M255,M.S. 255 SALK SCHOOL OF SCIENCE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,6,8,13.3,10.5,16,8.9,6.6
02M260,M260,THE CLINTON SCHOOL,SECONDARY SCHOOL,3,60,12,15,8.3,5.0,45,8.3,3.7
02M267,M267,EAST SIDE ELEMENTARY SCHOOL  PS 267,ELEMENTARY,2,30,12,*,,,*,,
02M276,M276,BATTERY PARK CITY SCHOOL,K-8,3,61,26,6,7.9,6.6,55,10.4,6.5
02M281,M281,THE RIVER SCHOOL,ELEMENTARY,2,34,16,*,,,*,,
02M289,M289,I.S. 289,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,19,6,6,8.3,5.6,13,11.8,8.6
02M290,M290,P.S. 290 MANHATTAN NEW SCHOOL,ELEMENTARY,3,32,14,*,,,*,,
02M297,M297,M.S. 297,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,52,10,13,8.4,2.3,39,9.8,2.5
02M312,M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,46,8,13,9.7,6.8,33,8.5,5.9
02M340,M340,SIXTH AVENUE ELEMENTARY SCHOOL,ELEMENTARY,2,29,12,*,,,*,,
02M343,M343,THE PECK SLIP SCHOOL,ELEMENTARY,2,31,20,*,,,*,,
02M347,M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,K-8,2,43,11,9,16.4,12.0,34,10.5,6.6
02M397,M397,SPRUCE STREET SCHOOL,K-8,2,41,16,9,11.1,4.3,32,6.9,4.1
02M413,M413,SCHOOL OF THE FUTURE HIGH SCHOOL,SECONDARY SCHOOL,3,51,15,24,10.3,6.9,27,8.9,6.6
02M422,M422,QUEST TO LEARN,SECONDARY SCHOOL,3,53,13,19,9.6,5.1,34,7.4,3.4
02M442,M442,BALLET TECH  NYC PUBLIC SCHOOL FOR DANCE,K-8,1,11,2,*,,,*,,
02M527,M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,ELEMENTARY,1,34,12,*,,,*,,
02M546,M546,ACADEMY FOR SOFTWARE ENGINEERING,HIGH SCHOOL,2,33,13,16,8.4,4.1,17,6.1,3.7
02M896,M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,31,9,7,8.8,6.1,24,10.7,5.6
02M933,M933,CITY KNOLL MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,15,5,*,,,*,,
03M009,M009,P.S. 009 SARAH ANDERSON,ELEMENTARY,2,41,18,*,,,*,,
03M054,M054,J.H.S. 054 BOOKER T. WASHINGTON,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,60,17,23,7.2,6.8,37,12.4,10.7
