Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2022,THE CLINTON SCHOOL,02M260,M260,SECONDARY SCHOOL,3,60,12,*,,,7,7.4,4.5,*,,,*,,,8,6.1,2.7,39,8.6,4.4,*,,,*,,
2022,SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,M413,SECONDARY SCHOOL,3,51,15,*,,,*,,,5,9.3,6.7,*,,,*,,,39,10.2,7.5,*,,,*,,
2022,QUEST TO LEARN,02M422,M422,SECONDARY SCHOOL,3,53,13,*,,,6,4.2,2,5,3.7,1.3,*,,,9,7.1,3.6,32,9.9,4.8,*,,,*,,
2022,WEST END SECONDARY SCHOOL,03M291,M291,SECONDARY SCHOOL,3,50,8,*,,,*,,,*,,,*,,,6,4.6,2.6,36,6.4,2.4,*,,,*,,
2022,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,03M860,M860,SECONDARY SCHOOL,3,33,8,*,,,*,,,10,7.6,2.4,*,,,6,3.1,1.4,15,4.2,2.4,*,,,*,,
2022,ESPERANZA PREPARATORY ACADEMY,04M372,M372,SECONDARY SCHOOL,3,48,24,*,,,*,,,*,,,*,,,32,7.5,4.3,9,8.2,4.4,*,,,*,,
2022,COLUMBIA SECONDARY SCHOOL,05M362,M362,SECONDARY SCHOOL,3,49,14,*,,,*,,,5,5.3,3.3,*,,,*,,,36,10.5,6.1,*,,,*,,
2022,CITY COLLEGE ACADEMY OF THE ARTS,06M293,M293,SECONDARY SCHOOL,4,43,8,*,,,*,,,*,,,*,,,15,9.7,6.2,22,11.1,8.2,*,,,*,,
2022,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,06M346,M346,SECONDARY SCHOOL,3,50,11,*,,,*,,,5,13.9,10.7,*,,,19,7.7,6.2,23,10.6,8.3,*,,,*,,
2022,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,07X223,X223,SECONDARY SCHOOL,5,55,12,*,,,*,,,10,5.7,5,*,,,22,5.4,4,18,6.7,5.1,*,,,*,,
2022,ARCHIMEDES ACADEMY FOR MATH  SCIENCE AND TECHNOLOG,08X367,X367,SECONDARY SCHOOL,4,52,21,*,,,5,9.2,6.3,6,11,4.2,*,,,9,11.2,6.1,31,9.3,6.3,*,,,*,,
2022,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNIN,09X324,X324,SECONDARY SCHOOL,3,32,9,*,,,*,,,5,10.7,6.9,*,,,7,5.5,3.5,18,7,5.1,*,,,*,,
2022,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,09X327,X327,SECONDARY SCHOOL,4,57,18,*,,,*,,,13,7.8,5.5,*,,,22,10,6.1,15,8.7,5.5,*,,,*,,
2022,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,09X568,X568,SECONDARY SCHOOL,3,42,9,*,,,*,,,6,6.4,3.2,*,,,9,4.9,3.3,20,7,4.2,*,,,*,,
2022,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / H,10X141,X141,SECONDARY SCHOOL,5,104,23,*,,,5,3.6,1.9,10,13.8,6.2,*,,,22,9.7,7.3,62,11.8,8.3,*,,,*,,
2022,THEATRE ARTS PRODUCTION COMPANY SCHOOL,10X225,X225,SECONDARY SCHOOL,4,49,16,*,,,*,,,12,10.3,2.8,*,,,6,10.4,4.1,23,11.2,7.5,*,,,*,,
2022,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),10X368,X368,SECONDARY SCHOOL,5,74,20,*,,,5,13.9,12.9,20,15.6,9,*,,,19,12.1,7.5,26,10.9,8.8,*,,,*,,
2022,MOTT HALL V,12X242,X242,SECONDARY SCHOOL,4,58,18,*,,,*,,,12,6.6,4.3,*,,,15,10.1,6.4,25,9.4,6.9,*,,,*,,
2022,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,13K265,K265,SECONDARY SCHOOL,1,31,6,*,,,*,,,18,18,11.9,*,,,*,,,6,11.8,5.5,*,,,*,,
2022,JUAN MOREL CAMPOS SECONDARY SCHOOL,14K071,K071,SECONDARY SCHOOL,3,60,24,*,,,*,,,16,11.6,10,*,,,11,11.6,9.5,30,10.2,7.9,*,,,*,,
2022,SPRING CREEK COMMUNITY SCHOOL,19K422,K422,SECONDARY SCHOOL,4,48,10,*,,,*,,,27,8.3,2.9,*,,,*,,,13,8.5,4.9,*,,,*,,
2022,QUEENS SCHOOL OF INQUIRY  THE,25Q252,Q252,SECONDARY SCHOOL,3,51,7,*,,,*,,,*,,,*,,,6,7.2,6.1,38,11.5,7.2,*,,,*,,
2022,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHO,25Q285,Q285,SECONDARY SCHOOL,3,41,17,*,,,6,8.2,7.1,*,,,*,,,*,,,28,12,8,*,,,*,,
