Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2023,ACADEMY FOR SOFTWARE ENGINEERING,02M546,M546,HIGH SCHOOL,3,32,13,15,8,4.1,17,6,4.3
2023,BRONX LEGACY HIGH SCHOOL,07X625,X625,HIGH SCHOOL,2,16,4,5,0.6,0.4,11,8.1,0.3
2023,BRONX ARENA HIGH SCHOOL,08X537,X537,HIGH SCHOOL,2,14,2,7,12.8,6.1,7,13.1,8
2023,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,19K953,K953,HIGH SCHOOL,2,12,4,*,,,*,,
2023,GOTHAM TECH HIGH SCHOOL,30Q417,Q417,HIGH SCHOOL,1,7,2,*,,,*,,
2023,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,71M047,M047,HIGH SCHOOL,3,35,5,15,6.2,2.9,20,5.5,4.1
2023,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,71M135,M135,HIGH SCHOOL,3,25,4,11,5.9,4.1,14,8.8,3.6
2023,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,71M139,M139,HIGH SCHOOL,3,35,11,14,7.2,3.9,21,6.2,2.9
2023,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,71M157,M157,HIGH SCHOOL,2,21,5,12,5.1,3.2,9,6.2,1.7
2023,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,71M211,M211,HIGH SCHOOL,3,37,9,14,10.6,4.8,23,8.4,3.2
2023,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,71M280,M280,HIGH SCHOOL,3,38,5,12,7,4.6,26,6.5,3.1
2023,URBAN ASSEMBLY MAKER ACADEMY,71M282,M282,HIGH SCHOOL,4,46,7,16,7.6,2.9,30,5.8,2
2023,HARLEM RENAISSANCE HIGH SCHOOL,71M285,M285,HIGH SCHOOL,2,13,4,5,22.1,12.1,8,12.4,4.8
2023,FOOD AND FINANCE HIGH SCHOOL,71M288,M288,HIGH SCHOOL,3,32,6,17,11.9,7.6,15,8.3,6
2023,ORCHARD COLLEGIATE ACADEMY,71M292,M292,HIGH SCHOOL,2,25,5,14,11.2,6.2,11,7.9,4.2
2023,ESSEX STREET ACADEMY,71M294,M294,HIGH SCHOOL,2,30,4,12,10.2,6.5,18,12.2,7.2
2023,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,71M296,M296,HIGH SCHOOL,2,20,5,7,15.2,10.4,13,15.1,9.2
2023,PACE HIGH SCHOOL,71M298,M298,HIGH SCHOOL,4,45,8,22,12.5,8.5,23,10.4,5.7
2023,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,71M299,M299,HIGH SCHOOL,2,14,3,7,16.9,8.8,7,11.6,6.1
2023,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,71M300,M300,HIGH SCHOOL,1,26,6,10,9.2,4.9,16,9.1,5.7
2023,FACING HISTORY SCHOOL  THE,71M303,M303,HIGH SCHOOL,2,31,6,10,8.6,6.6,21,8.4,5.2
2023,MOTT HALL HIGH SCHOOL,71M304,M304,HIGH SCHOOL,2,17,6,6,7.5,4.4,11,8.5,2.4
2023,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW  THE,71M305,M305,HIGH SCHOOL,2,24,7,12,8,4.1,12,7.8,4.8
2023,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE,71M307,M307,HIGH SCHOOL,3,30,15,11,9.5,7.9,19,5.6,3.9
2023,LOWER MANHATTAN ARTS ACADEMY,71M308,M308,HIGH SCHOOL,1,26,7,14,9.1,3.4,12,6.8,4.4
2023,THE JUDITH S. KAYE SCHOOL,71M310,M310,HIGH SCHOOL,3,11,1,5,14,3,6,15.9,3.5
2023,JAMES BALDWIN SCHOOL  THE: A SCHOOL FOR EXPEDITION,71M313,M313,HIGH SCHOOL,2,16,5,7,13.3,9,9,11.9,8.3
2023,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,71M316,M316,HIGH SCHOOL,1,9,4,*,,,*,,
2023,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,71M369,M369,HIGH SCHOOL,2,24,8,9,9.3,4.5,15,8.4,4.3
2023,GRAMERCY ARTS HIGH SCHOOL,71M374,M374,HIGH SCHOOL,3,37,12,15,7,4.1,22,5.9,2.9
2023,NYC ISCHOOL,71M376,M376,HIGH SCHOOL,2,37,8,15,8.9,5.5,22,9.2,5.2
2023,MANHATTAN BUSINESS ACADEMY,71M392,M392,HIGH SCHOOL,3,32,3,15,10.2,6.6,17,9.2,4.2
2023,BUSINESS OF SPORTS SCHOOL,71M393,M393,HIGH SCHOOL,3,37,6,16,9.5,5.2,21,10.9,5.4
2023,EMMA LAZARUS HIGH SCHOOL,71M394,M394,HIGH SCHOOL,3,18,6,5,12.1,7.5,13,9.2,4.5
2023,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,71M399,M399,HIGH SCHOOL,3,15,4,8,11.6,6.3,7,14,5.7
2023,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,71M400,M400,HIGH SCHOOL,7,72,13,27,11.1,7.4,45,10.1,5.6
2023,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,71M402,M402,HIGH SCHOOL,1,28,6,10,7.9,4,18,3.9,2.1
2023,THE GLOBAL LEARNING COLLABORATIVE,71M403,M403,HIGH SCHOOL,3,34,7,16,9.4,5.9,18,13.7,5.5
2023,INNOVATION DIPLOMA PLUS,71M404,M404,HIGH SCHOOL,2,12,2,5,8.1,3.9,7,14.1,9.5
2023,BARUCH COLLEGE CAMPUS HIGH SCHOOL,71M411,M411,HIGH SCHOOL,3,30,6,8,10.7,7.5,22,7.7,3.9
2023,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,71M412,M412,HIGH SCHOOL,3,47,17,15,11,7.3,32,9.8,5.3
2023,N.Y.C. MUSEUM SCHOOL,71M414,M414,HIGH SCHOOL,3,32,8,11,13.5,5.6,21,13.4,5.3
2023,ELEANOR ROOSEVELT HIGH SCHOOL,71M416,M416,HIGH SCHOOL,2,34,5,16,13,9.7,18,10.9,7.3
2023,FRANK MCCOURT HIGH SCHOOL,71M417,M417,HIGH SCHOOL,2,31,6,11,5.2,1.8,20,8.8,4.9
2023,MILLENNIUM HIGH SCHOOL,71M418,M418,HIGH SCHOOL,3,43,5,11,12.5,8.3,32,10.2,8
2023,LANDMARK HIGH SCHOOL,71M419,M419,HIGH SCHOOL,3,32,10,12,8.9,6.5,20,7.3,4.8
2023,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,71M420,M420,HIGH SCHOOL,10,97,20,43,12.4,9.6,54,11.6,9.1
