Year,School Name,DBN,Pupil Teacher Ratio
2022,PS 015 ROBERTO CLEMENTE,01M015,8.1
2022,PS 019 ASHER LEVY,01M019,6.1
2022,PS 020 ANNA SILVER,01M020,12.2
2022,PS 034 FRANKLIN D ROOSEVELT,01M034,9.6
2022,THE STAR ACADEMY - PS63,01M063,10
2022,PS 064 ROBERT SIMON,01M064,10.7
2022,PS 110 FLORENCE NIGHTINGALE,01M110,15.9
2022,PS 134 HENRIETTA SZOLD,01M134,8.6
2022,PS 140 NATHAN STRAUS,01M140,9.8
2022,PS 142 AMALIA CASTRO,01M142,9.2
2022,PS 184M SHUANG WEN,01M184,13.4
2022,PS 188 THE ISLAND SCHOOL,01M188,10.9
2022,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,01M292,10.6
2022,THE EAST VILLAGE COMMUNITY SCHOOL,01M315,14
2022,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,01M332,7.6
2022,THE CHILDREN'S WORKSHOP SCHOOL,01M361,12.7
2022,NEIGHBORHOOD SCHOOL,01M363,13.5
2022,EARTH SCHOOL,01M364,12.2
2022,SCHOOL FOR GLOBAL LEADERS,01M378,8.4
2022,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,01M448,14.9
2022,EAST SIDE COMMUNITY SCHOOL,01M450,13.7
2022,FORSYTH SATELLITE ACADEMY,01M458,9.1
2022,MARTA VALLE HIGH SCHOOL,01M509,8.5
2022,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,01M515,15.8
2022,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",01M539,17.7
2022,CASCADES HIGH SCHOOL,01M650,12
2022,BARD HIGH SCHOOL EARLY COLLEGE,01M696,17.1
2022,TOMPKINS SQUARE MIDDLE SCHOOL,01M839,12.3
2022,PS 001 ALFRED E SMITH,02M001,10.3
2022,PS 002 MEYER LONDON,02M002,11.1
2022,PS 003 CHARRETTE SCHOOL,02M003,14.4
2022,PS 006 LILLIE D BLAKE,02M006,17.8
2022,PS 011 WILLIAM T HARRIS,02M011,16.2
2022,PS 033 CHELSEA PREP,02M033,16.3
2022,PS 040 AUGUSTUS SAINT-GAUDENS,02M040,17.6
2022,PS 041 GREENWICH VILLAGE,02M041,16.6
2022,PS 042 BENJAMIN ALTMAN,02M042,10.6
2022,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,02M047,8.8
2022,PS 051 ELIAS HOWE,02M051,13.9
2022,PS 059 BEEKMAN HILL INTERNATIONAL,02M059,15.6
2022,PS 77 LOWER LAB SCHOOL,02M077,21.6
2022,PS 89,02M089,14.5
2022,JHS 104 SIMON BARUCH,02M104,16.5
2022,PS 111 ADOLPH S OCHS,02M111,12.2
2022,EAST SIDE MIDDLE SCHOOL,02M114,16
2022,PS 116 MARY LINDLEY MURRAY,02M116,14.1
2022,PS 124 YUNG WING,02M124,15.6
2022,PS 126 JACOB AUGUST RIIS,02M126,13.5
2022,PS 130 HERNANDO DE SOTO,02M130,15.5
2022,MS 131,02M131,10.8
2022,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,02M135,11.1
2022,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,02M139,10.4
2022,PS 150,02M150,18.5
2022,YORKVILLE COMMUNITY SCHOOL,02M151,13.4
2022,PS 158 BAYARD TAYLOR,02M158,15.8
2022,JHS 167 ROBERT F WAGNER,02M167,15.3
2022,YORKVILLE EAST MIDDLE SCHOOL,02M177,11.6
2022,PS 183 ROBERT L STEVENSON,02M183,15.8
2022,PS 198 ISADOR E IDA STRAUS,02M198,13.9
2022,PS 212 MIDTOWN WEST,02M212,17.2
2022,PS/IS 217 ROOSEVELT ISLAND,02M217,15.2
2022,ELLA BAKER SCHOOL,02M225,12.5
2022,PS 234 INDEPENDENCE SCHOOL,02M234,13.6
2022,MS 255 SALK SCHOOL OF SCIENCE,02M255,15.9
2022,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,02M260,15.3
2022,"EAST SIDE ELEMENTARY SCHOOL, PS 267",02M267,15.7
2022,BATTERY PARK CITY SCHOOL,02M276,14.1
2022,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,02M280,12.5
2022,THE RIVER SCHOOL,02M281,14.7
2022,URBAN ASSEMBLY MAKER ACADEMY,02M282,13.2
2022,FOOD AND FINANCE HIGH SCHOOL,02M288,12.5
2022,IS 289,02M289,15.2
2022,PS 290 MANHATTAN NEW SCHOOL,02M290,14.5
2022,ESSEX STREET ACADEMY,02M294,13.2
2022,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,02M296,12
2022,MS 297,02M297,14.4
2022,PACE HIGH SCHOOL,02M298,13.9
2022,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",02M300,11.4
2022,"FACING HISTORY SCHOOL, THE",02M303,12.3
2022,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",02M305,13.5
2022,LOWER MANHATTAN ARTS ACADEMY,02M308,12.7
2022,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,02M312,15.3
2022,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",02M313,11.1
2022,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",02M316,13
2022,SIXTH AVENUE ELEMENTARY SCHOOL,02M340,12.7
2022,THE PECK SLIP SCHOOL,02M343,13.2
2022,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,02M347,3.7
2022,GRAMERCY ARTS HIGH SCHOOL,02M374,14.7
2022,NYC ISCHOOL,02M376,14.3
2022,MANHATTAN BUSINESS ACADEMY,02M392,13
2022,BUSINESS OF SPORTS SCHOOL,02M393,12.4
2022,EMMA LAZARUS HIGH SCHOOL,02M394,16
2022,SPRUCE STREET SCHOOL,02M397,13.9
2022,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,02M399,14.6
2022,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,02M400,16.3
2022,INSTITUTE FOR COLLABORATIVE EDUCATION,02M407,15.6
2022,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,02M408,20
2022,BARUCH COLLEGE CAMPUS HIGH SCHOOL,02M411,18.7
2022,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,02M412,11.9
2022,SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,14.5
2022,NYC MUSEUM SCHOOL,02M414,15.5
2022,ELEANOR ROOSEVELT HIGH SCHOOL,02M416,16.7
2022,MILLENNIUM HIGH SCHOOL,02M418,17.2
2022,LANDMARK HIGH SCHOOL,02M419,14.2
2022,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,02M420,18.9
2022,QUEST TO LEARN,02M422,12.5
2022,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,02M425,13.5
2022,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,02M427,13.3
2022,MURRAY HILL ACADEMY,02M432,10.6
2022,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,02M437,14.3
2022,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,02M438,13.7
2022,MANHATTAN VILLAGE ACADEMY,02M439,16.2
2022,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",02M442,12.9
2022,VANGUARD HIGH SCHOOL,02M449,13
2022,MANHATTAN INTERNATIONAL HIGH SCHOOL,02M459,13.7
2022,STUYVESANT HIGH SCHOOL,02M475,21.8
2022,HIGH SCHOOL OF ECONOMICS AND FINANCE,02M489,15.1
2022,UNITY CENTER FOR URBAN TECHNOLOGIES,02M500,15.4
2022,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,02M507,13.1
2022,TALENT UNLIMITED HIGH SCHOOL,02M519,14.6
2022,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,02M520,9.5
2022,PS 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,02M527,14.5
2022,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,02M529,9.6
2022,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,02M531,14.8
2022,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,02M533,12.8
2022,HARVEST COLLEGIATE HIGH SCHOOL,02M534,12.7
2022,MANHATTAN BRIDGES HIGH SCHOOL,02M542,15.2
2022,NEW DESIGN HIGH SCHOOL,02M543,11.1
2022,INDEPENDENCE HIGH SCHOOL,02M544,15.4
2022,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,02M545,16.4
2022,ACADEMY FOR SOFTWARE ENGINEERING,02M546,12
2022,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,02M550,14.7
2022,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,02M551,13
2022,HIGH SCHOOL M560 - CITY AS SCHOOL,02M560,12.4
2022,URBAN ACADEMY LABORATORY HIGH SCHOOL,02M565,9.3
2022,SATELLITE ACADEMY HIGH SCHOOL,02M570,12.7
2022,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,02M575,15.5
2022,RICHARD R GREEN HIGH SCHOOL OF TEACHING,02M580,14.2
2022,HARVEY MILK HIGH SCHOOL,02M586,7.6
2022,THE HIGH SCHOOL OF FASHION INDUSTRIES,02M600,16.1
2022,HUMANITIES PREPARATORY ACADEMY,02M605,13.7
2022,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,02M615,12.7
2022,ART AND DESIGN HIGH SCHOOL,02M630,15.8
2022,LIFE SCIENCES SECONDARY SCHOOL,02M655,12.2
2022,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,02M896,13.3
2022,CITY KNOLL MIDDLE SCHOOL,02M933,11.3
2022,PS 009 SARAH ANDERSON,03M009,15.2
2022,JHS 054 BOOKER T WASHINGTON,03M054,15.4
2022,PS 075 EMILY DICKINSON,03M075,7.3
2022,PS 076 A PHILIP RANDOLPH,03M076,15.9
2022,PS 084 LILLIAN WEBER,03M084,13.7
2022,PS 087 WILLIAM SHERMAN,03M087,15.3
2022,"PS 145, THE BLOOMINGDALE SCHOOL",03M145,11.2
2022,PS 149 SOJOURNER TRUTH,03M149,9
2022,PS 163 ALFRED E SMITH,03M163,12.2
2022,PS 165 ROBERT E SIMON,03M165,12.1
2022,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,03M166,17.4
2022,PS 180 HUGO NEWMAN,03M180,12.1
2022,PS 185 - THE EARLY CHILDHOOD DISCOVERY AND DESIGN MAGNET SCHOOL,03M185,11.8
2022,PS 191 AMSTERDAM,03M191,10.2
2022,PS 199 JESSIE ISADOR STRAUS,03M199,15.4
2022,STEM INSTITUTE OF MANHATTAN,03M241,6.9
2022,PS 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,03M242,7.3
2022,MS 243 CENTER SCHOOL,03M243,15.9
2022,MS M245 THE COMPUTER SCHOOL,03M245,15.8
2022,MS M247 DUAL LANGUAGE MIDDLE SCHOOL,03M247,10.5
2022,MS 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,03M250,9.7
2022,MS 256 ACADEMIC & ATHLETIC EXCELLENCE,03M256,9.2
2022,COMMUNITY ACTION SCHOOL - MS 258,03M258,11.5
2022,WEST END SECONDARY SCHOOL OF URBAN STUDIES,03M291,15.2
2022,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",03M299,10.8
2022,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",03M307,14.1
2022,PS 333 MANHATTAN SCHOOL FOR CHILDREN,03M333,14.6
2022,THE ANDERSON SCHOOL,03M334,18.5
2022,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,03M402,11
2022,THE GLOBAL LEARNING COLLABORATIVE,03M403,13
2022,INNOVATION DIPLOMA PLUS,03M404,11.6
2022,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,03M415,8.8
2022,FRANK MCCOURT HIGH SCHOOL,03M417,15.2
