,,,,,,,,,,
DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,English,MS English Core,41,2,20.5,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Math,MS Math Core,41,2,20.5,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Science,MS Science Core,41,2,20.5,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Social Studies,MS Social Studies Core,41,2,20.5,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,English,MS English Core,81,4,20.3,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Math,MS Math Core,81,4,20.3,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Science,MS Science Core,81,4,20.3,19.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Social Studies,MS Social Studies Core,81,4,20.3,19.0,22.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,English,MS English Core,56,2,28.0,28.0,28.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,English,MS English Other,26,3,8.7,<15,<15
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,Math,MS Math Core,56,2,28.0,28.0,28.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,Science,MS Science Core,56,2,28.0,28.0,28.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,Social Studies,MS Social Studies Core,56,2,28.0,28.0,28.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,English,MS English Core,114,4,28.5,26.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Math,MS Math Core,114,4,28.5,26.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Science,MS Science Core,114,4,28.5,26.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Social Studies,MS Social Studies Core,114,4,28.5,26.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,English,MS English Core,29,3,9.7,7.0,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Math,MS Math Core,29,3,9.7,7.0,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Science,MS Science Core,29,4,7.3,<6,10.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Social Studies,MS Social Studies Core,29,3,9.7,7.0,12.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Math,MS Integrated Algebra,30,1,30.0,30.0,30.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Science,MS Science Other,32,1,32.0,32.0,32.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,English,MS English Core,99,4,24.8,22.0,29.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Math,MS Math Core,81,3,27.0,25.0,29.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Science,MS Science Core,70,3,23.3,22.0,25.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Social Studies,MS Social Studies Core,99,4,24.8,22.0,29.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,English,MS English Core,167,6,27.8,21.0,>34
01M184,PS 184M SHUANG WEN,MS Core,ICT,Math,MS Math Core,157,7,22.4,<15,28.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Science,MS Science Core,172,7,24.6,21.0,29.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Social Studies,MS Social Studies Core,175,7,25.0,21.0,29.0
01M184,PS 184M SHUANG WEN,MS Core,SC,English,MS English Core,8,1,8.0,8.0,8.0
01M184,PS 184M SHUANG WEN,MS Core,SC,Math,MS Math Core,6,1,6.0,6.0,6.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,English,MS English Core,23,1,23.0,23.0,23.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,English,MS English Other,23,1,23.0,23.0,23.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Math,MS Math Core,60,3,20.0,15.0,23.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Science,MS Science Core,22,1,22.0,22.0,22.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,English,MS English Core,22,1,22.0,22.0,22.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Math,MS Math Core,92,4,23.0,22.0,25.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Science,MS Science Core,85,4,21.3,15.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 09,106,6,17.7,15.0,20.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 11,23,1,23.0,23.0,23.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 12,18,1,18.0,18.0,18.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English Other,26,2,13.0,<15,16.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra I,68,5,13.6,<15,17.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra II,13,1,13.0,<15,<15
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Statistics,19,1,19.0,19.0,19.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Chemistry,22,1,22.0,22.0,22.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Earth Science,19,1,19.0,19.0,19.0
