DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,English,MS English Core,129,6,21.5,18.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Math,MS Math Core,43,2,21.5,18.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Science,MS Science Core,43,2,21.5,18.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,Gen Ed,Social Studies,MS Social Studies Core,43,2,21.5,18.0,25.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,English,MS English Core,87,4,21.8,21.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Math,MS Math Core,87,4,21.8,21.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Science,MS Science Core,87,4,21.8,21.0,22.0
01M034,PS 034 FRANKLIN D ROOSEVELT,MS Core,ICT,Social Studies,MS Social Studies Core,87,4,21.8,21.0,22.0
01M140,PS 140 NATHAN STRAUS,MS Core,Gen Ed,English,MS English Other,17,2,8.5,<15,<15
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,English,MS English Core,160,6,26.7,22.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Math,MS Math Core,160,6,26.7,22.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Science,MS Science Core,160,6,26.7,22.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,ICT,Social Studies,MS Social Studies Core,160,6,26.7,22.0,30.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,English,MS English Core,33,3,11.0,10.0,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Math,MS Math Core,33,4,8.3,<6,11.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Science,MS Science Core,33,3,11.0,10.0,12.0
01M140,PS 140 NATHAN STRAUS,MS Core,SC,Social Studies,MS Social Studies Core,33,4,8.3,<6,11.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Math,MS Integrated Algebra,45,2,22.5,22.0,23.0
01M184,PS 184M SHUANG WEN,MS Core,Accelerated,Science,MS Science Other,58,2,29.0,28.0,30.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,English,MS English Core,291,12,24.3,19.0,27.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Math,MS Math Core,101,4,25.3,24.0,27.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Science,MS Science Core,101,4,25.3,24.0,27.0
01M184,PS 184M SHUANG WEN,MS Core,Gen Ed,Social Studies,MS Social Studies Core,253,10,25.3,22.0,27.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Math,MS Math Core,101,4,25.3,23.0,27.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Science,MS Science Core,140,6,23.3,<15,27.0
01M184,PS 184M SHUANG WEN,MS Core,ICT,Social Studies,MS Social Studies Core,46,2,23.0,22.0,24.0
01M184,PS 184M SHUANG WEN,MS Core,ICT & Acc,Math,MS Integrated Algebra,43,2,21.5,19.0,24.0
01M184,PS 184M SHUANG WEN,MS Core,SC,Math,MS Math Core,9,1,9.0,9.0,9.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Accelerated,Math,MS Integrated Algebra,27,1,27.0,27.0,27.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Accelerated,Science,MS Science Other,27,1,27.0,27.0,27.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,English,MS English Other,59,3,19.7,<15,26.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Math,MS Math Core,41,2,20.5,20.0,21.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,Gen Ed,Science,MS Science Core,54,3,18.0,<15,21.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Math,MS Math Core,49,2,24.5,23.0,26.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT,Science,MS Science Core,23,1,23.0,23.0,23.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT & Acc,Math,MS Integrated Algebra,22,1,22.0,22.0,22.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,ICT & Acc,Science,MS Science Other,22,1,22.0,22.0,22.0
01M188,PS 188 THE ISLAND SCHOOL,MS Core,SC,Math,MS Math Core,13,1,13.0,13.0,13.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 09,93,7,13.3,<15,18.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 11,19,1,19.0,19.0,19.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English 12,20,1,20.0,20.0,20.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,English,HS English Other,15,1,15.0,15.0,15.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra I,21,2,10.5,<15,<15
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Algebra II,18,1,18.0,18.0,18.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Geometry,26,1,26.0,26.0,26.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Math Other,24,1,24.0,24.0,24.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Pre-calculus,7,1,7.0,<15,<15
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Math,HS Technology,20,1,20.0,20.0,20.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Chemistry,27,1,27.0,27.0,27.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Earth Science,17,1,17.0,17.0,17.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Living Environment,20,1,20.0,20.0,20.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Science,HS Other Life Science,40,2,20.0,15.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS Global History,69,3,23.0,21.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS Government & Econ,31,1,31.0,31.0,31.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,Gen Ed,Social Studies,HS US History,46,2,23.0,18.0,28.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 09,45,2,22.5,21.0,24.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 11,47,2,23.5,22.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English 12,43,2,21.5,19.0,24.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,English,HS English Other,13,1,13.0,<15,<15
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Math,HS Algebra I,75,4,18.8,<15,23.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Math,HS Geometry,54,2,27.0,25.0,29.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Earth Science,50,2,25.0,25.0,25.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Living Environment,47,2,23.5,23.0,24.0
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,HS Core,ICT,Science,HS Other Life Science,26,1,26.0,26.0,26.0
