School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
"""47"" The American Sign Language and English Secondary School",71M047,40.738374,-73.981329,223 EAST 23 STREET,Gramercy Park - Murray Hill,10010
A. Philip Randolph Campus High School,71M540,40.8185,-73.949929,443 WEST 135 STREET,Washington Heights - Inwood,10031
Abraham Lincoln High School,76K410,40.582627,-73.968733,2800 OCEAN PARKWAY,Coney Island - Sheepshead Bay ,11235
Academy for Careers in Television and Film,77Q301,40.742964,-73.959183,1-50 51 AVENUE,Long Island City - Astoria,11101
Academy for Conservation and the Environment,73K637,40.634451,-73.916927,6565 FLATLANDS AVENUE,Canarsie - Flatlands,11236
Academy for Excellence in Leadership,73K403,40.696457,-73.911751,400 IRVING AVENUE,Williamsburg - Bushwick,11237
Academy for Health Careers,71M468,40.675905,-73.939282,150 ALBANY AVENUE,Bedford Stuyvesant - Crown Heights,11213
Academy for Language and Technology,72X365,40.849416,-73.915217,1700 MACOMBS ROAD,Crotona - Tremont,10453
Academy for Scholarship and Entrepreneurship: A College Board School,72X270,40.888242,-73.852714,921 EAST 228 STREET,Northeast Bronx,10466
Academy for Software Engineering,02M546,40.735361,-73.987064,40 IRVING PLACE,Union Square - Lower East Side,10003
Academy for Young Writers,73K404,40.657266,-73.874064,1065 ELTON STREET,Canarsie - Flatlands,11239
Academy of American Studies,77Q575,40.751144,-73.937564,28-04 41 AVENUE,Long Island City - Astoria,11101
Academy of Finance and Enterprise,77Q264,40.744175,-73.937004,30-20 THOMSON AVENUE,Long Island City - Astoria,11101
Academy of Hospitality and Tourism,73K408,40.649602,-73.957173,911 FLATBUSH AVENUE,East Flatbush - Flatbush,11226
Academy of Innovative Technology,73K618,40.693002,-73.869305,999 JAMAICA AVENUE,East New York,11208
Academy of Medical Technology: A College Board Sch,77Q309,40.601537,-73.763995,8-21 BAY 25 STREET,Rockaway,11691
Alfred E. Smith Career and Technical Education Hig,72X600,40.818645,-73.919949,333 EAST 151 STREET,High Bridge - Morrisania,10451
Antonia Pantoja Preparatory Academy: A College Boa,72X376,40.821218,-73.85593,1980 LAFAYETTE AVENUE,Pelham - Throgs Neck,10473
"Archimedes Academy for Math, Science and Technolog",08X367,40.815043,-73.85607,456 WHITE PLAINS ROAD,Pelham - Throgs Neck,10473
Art and Design High School,71M630,40.759248,-73.967204,245 EAST 56 STREET,Gramercy Park - Murray Hill,10022
Arturo A. Schomburg Satellite Academy Bronx,72X446,40.823124,-73.898265,1010 REV. J. A. POLITE AVENUE,Hunts Point - Mott Haven,10459
Aspirations Diploma Plus High School,73K646,40.669561,-73.955188,402 EASTERN PARKWAY,East Flatbush - Flatbush,11225
Astor Collegiate Academy,72X299,40.860443,-73.860729,925 ASTOR AVENUE,Northeast Bronx,10469
August Martin High School,77Q400,40.673949,-73.782684,156-10 BAISLEY BOULEVARD,Jamaica,11434
Aviation Career & Technical Education High School,77Q610,40.743309,-73.929577,45-30 36 STREET,Long Island City - Astoria,11101
Baruch College Campus High School,71M411,40.741888,-73.985723,55 EAST 25 STREET,Gramercy Park - Murray Hill,10010
Bayside High School,77Q495,40.771398,-73.781041,32-24 CORPORAL KENNEDY STREET,Bayside - Little Neck,11361
Bedford Academy High School,73K595,40.685486,-73.953692,1119 BEDFORD AVENUE,Bedford Stuyvesant - Crown Heights,11216
Belmont Preparatory High School,72X434,40.859466,-73.888625,500 EAST FORDHAM ROAD,Fordham - Bronx Park,10458
Benjamin Banneker Academy,73K670,40.695389,-73.968759,71-77 CLINTON AVENUE,Downtown - Heights - Park Slope,11205
Benjamin Franklin High School for Finance & Inform,77Q313,40.698786,-73.74633,207- 01 116 AVENUE,Southeast Queens,11411
Benjamin N. Cardozo High School,77Q415,40.752343,-73.757271,57-00 223 STREET,Bayside - Little Neck,11364
Boys and Girls High School,76K455,40.678478,-73.931604,1700 FULTON STREET,Bedford Stuyvesant - Crown Heights,11213
Bronx Academy for Software Engineering (BASE),72X264,40.855392,-73.882487,2474 CROTONA AVENUE,Fordham - Bronx Park,10458
Bronx Academy of Health Careers,72X290,40.875172,-73.861649,800 EAST GUN HILL ROAD,Fordham - Bronx Park,10467
Bronx Aerospace High School,72X545,40.875172,-73.861649,800 EAST GUN HILL ROAD,Fordham - Bronx Park,10467
Bronx Arena High School,08X537,40.820486,-73.881187,1440 STORY AVENUE,Pelham - Throgs Neck,10473
