Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2020,"""47"" The American Sign Language and English Secondary School",71M047,3,25,4,9,3.8,2,16,6.5,5.3,*,*,*,*,,,5,6.5,8.9,*,*,*,*,,,18,5.9,3.3,*,*,*
2021,"""47"" The American Sign Language and English Secondary School",71M047,3,25,3,8,7.2,3,17,8.1,6,*,,,*,,,5,7.4,9.9,*,,,*,,,17,8.1,4.3,*,*,*
2022,"""47"" The American Sign Language and English Secondary School",71M047,3,34,5,14,5.6,2,20,7.8,4.7,*,,,*,,,5,10.8,10.1,*,,,*,,,24,6.6,2.8,*,*,*
2023,"""47"" The American Sign Language and English Secondary School",71M047,3,35,5,15,6.2,2.9,20,5.5,4.1,*,,,*,,,5,11.2,10.5,*,,,*,,,26,4.7,2.5,*,*,*
2020,A. Philip Randolph Campus High School,71M540,9,91,24,45,11,5.2,46,11.7,5.4,*,*,*,6,9.8,5.8,14,13.2,6.5,*,*,*,32,11.5,4.9,32,12.1,5.6,5,5.7,3.9
2021,A. Philip Randolph Campus High School,71M540,9,85,22,44,11.2,5.7,41,11.5,6.3,*,,,6,10.8,6.8,14,11.9,5.2,*,,,29,11.3,6,29,12.6,6.6,5,6.7,4.9
2022,A. Philip Randolph Campus High School,71M540,7,93,23,50,11.3,5.5,43,11,6.1,*,,,8,11.8,5.2,14,12.7,5.9,*,,,36,9.7,5.2,30,12.5,6.7,*,*,*
2023,A. Philip Randolph Campus High School,71M540,8,83,26,45,12.8,7,38,11.2,6.9,*,,,7,12.3,6.3,14,12.9,6.2,*,,,31,11.1,6.4,26,12.9,8.3,*,*,*
2020,Abraham Lincoln High School,76K410,9,123,33,45,10.1,6.9,78,11,8.9,*,*,*,8,3.4,3.4,19,9.1,5.5,*,*,*,15,9.1,6.9,73,13,10.3,6,3.8,2.9
2021,Abraham Lincoln High School,76K410,9,122,34,45,10.7,7.5,77,11.5,9.3,*,,,9,3.9,3.6,19,9.3,5.7,*,,,16,9.6,7.5,70,13.9,11,6,4.8,3.9
2022,Abraham Lincoln High School,76K410,9,128,33,48,10.4,7.5,80,11.2,9.2,*,,,12,3.7,3.4,21,9.2,5.8,*,,,19,7.6,6.4,69,14.1,11.3,*,*,*
2023,Abraham Lincoln High School,76K410,9,121,41,46,11.3,8.5,75,11.5,9.1,*,,,13,4.4,4.1,21,9.4,6.1,*,,,18,8.1,7.3,64,14.8,11.4,*,*,*
2020,Academy for Careers in Television and Film,77Q301,3,39,9,19,6.9,5.3,20,5.3,4.4,*,*,*,*,,,*,,,*,*,*,6,3.6,3.5,28,7,5.2,*,*,*
2021,Academy for Careers in Television and Film,77Q301,3,41,10,20,7.5,6,21,6.1,5.2,*,,,*,,,*,,,*,,,7,4,4,28,8,6.2,*,*,*
2022,Academy for Careers in Television and Film,77Q301,3,44,10,23,7.7,6.2,21,6.3,5.6,*,,,*,,,*,,,*,,,8,3.7,4.8,28,8.4,6.8,*,*,*
2023,Academy for Careers in Television and Film,77Q301,3,47,10,21,9,6.9,26,6.4,5.1,*,,,*,,,*,,,*,,,9,4.3,5.3,30,8.9,7,*,*,*
2020,Academy for Conservation and the Environment,73K637,2,26,9,11,5.2,3.9,15,4.5,2.1,*,*,*,*,,,10,5.1,2.9,*,*,*,*,,,9,3.7,2.4,*,*,*
2021,Academy for Conservation and the Environment,73K637,3,26,9,10,6.4,5,16,5.2,3,*,,,*,,,11,5.6,3.6,*,,,*,,,8,4.8,3.4,*,*,*
2022,Academy for Conservation and the Environment,73K637,3,29,10,12,6.6,4.7,17,5.4,3.5,*,,,*,,,14,5.5,3.5,*,,,*,,,8,5.4,4,*,*,*
2023,Academy for Conservation and the Environment,73K637,3,30,10,14,9.3,4.7,16,6.9,4,*,,,*,,,12,6.3,4.5,*,,,*,,,11,8.5,3.6,*,*,*
