School Code,School Name,School Type,Weighted Register Allocation,Weighted Register Allocation If FSF Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Budget Allocation,FSF as % of Total Budget Allocation,Non-FSF Budget Allocations
01M450,East Side Community School,Junior-Senior High School,"$6,255,019 ","$6,939,126 ","$684,108 ",90.14%,"$360,168 ","$1,506,063 ","$8,121,249 ","$8,805,357 ","$836,992 ","$11,080,634 ",73%,"$2,959,385 "
02M260,M.S. 260 Clinton School Writers & Artists,Junior-Senior High School,"$6,468,958 ","$6,713,606 ","$244,647 ",96.36%,"$360,168 ","$1,450,522 ","$8,279,648 ","$8,524,295 ","$299,321 ","$9,968,857 ",83%,"$1,689,209 "
02M407,Institute for Collaborative Education,Junior-Senior High School,"$3,783,837 ","$4,151,009 ","$367,171 ",91.15%,"$360,168 ","$891,987 ","$5,035,992 ","$5,403,163 ","$449,226 ","$5,725,944 ",88%,"$689,953 "
02M408,Professional Performing Arts High School,Junior-Senior High School,"$5,857,124 ","$6,005,837 ","$148,713 ",97.52%,"$360,168 ","$966,469 ","$7,183,762 ","$7,332,474 ","$181,947 ","$7,273,801 ",99%,"$90,039 "
02M413,School of the Future High School,Junior-Senior High School,"$6,504,749 ","$6,842,077 ","$337,328 ",95.07%,"$360,168 ","$1,455,095 ","$8,320,012 ","$8,657,340 ","$412,714 ","$10,271,465 ",81%,"$1,951,453 "
02M422,Quest to Learn,Junior-Senior High School,"$5,808,479 ","$5,808,479 ",$0 ,100.00%,"$360,168 ","$1,364,885 ","$7,533,532 ","$7,533,532 ",$0 ,"$9,917,866 ",76%,"$2,384,334 "
03M291,West End Secondary School,Junior-Senior High School,"$4,823,197 ","$4,823,197 ",$0 ,100.00%,"$360,168 ","$1,078,842 ","$6,262,206 ","$6,262,206 ",$0 ,"$6,931,679 ",90%,"$669,473 "
03M415,Wadleigh Secondary School for the Performing & Visual Arts,Junior-Senior High School,"$3,072,015 ","$3,072,014 ",$0 ,100.00%,"$360,168 ","$971,023 ","$4,403,206 ","$4,403,205 ",$0 ,"$8,087,691 ",54%,"$3,684,485 "
03M860,Frederick Douglass Academy II Secondary School,Junior-Senior High School,"$3,182,567 ","$3,526,759 ","$344,192 ",90.24%,"$360,168 ","$793,971 ","$4,336,706 ","$4,680,898 ","$421,112 ","$6,004,271 ",72%,"$1,667,565 "
04M372,Esperanza Preparatory Academy,Junior-Senior High School,"$6,098,246 ","$6,227,476 ","$129,229 ",97.92%,"$360,168 ","$1,425,091 ","$7,883,505 ","$8,012,734 ","$158,109 ","$11,400,003 ",69%,"$3,516,498 "
04M610,Young Women's Leadership School,Junior-Senior High School,"$3,590,086 ","$3,986,375 ","$396,289 ",90.06%,"$360,168 ","$894,146 ","$4,844,400 ","$5,240,689 ","$484,852 ","$6,103,925 ",79%,"$1,259,525 "
05M148,Eagle Academy for Young Men of Harlem,Junior-Senior High School,"$4,088,987 ","$4,088,988 ",$0 ,100.00%,"$360,168 ","$964,212 ","$5,413,367 ","$5,413,368 ",$0 ,"$7,344,989 ",74%,"$1,931,622 "
05M362,Columbia Secondary School,Junior-Senior High School,"$5,566,522 ","$6,045,314 ","$478,792 ",92.08%,"$360,168 ","$1,315,355 ","$7,242,045 ","$7,720,837 ","$585,792 ","$9,832,385 ",74%,"$2,590,341 "
05M499,Frederick Douglass Academy,Junior-Senior High School,"$9,590,322 ","$10,190,382 ","$600,060 ",94.11%,"$360,168 ","$2,473,374 ","$12,423,864 ","$13,023,924 ","$734,161 ","$17,918,336 ",69%,"$5,494,472 "
05M670,Thurgood Marshall Academy for Learning and Social Change,Junior-Senior High School,"$4,969,919 ","$5,474,030 ","$504,111 ",90.79%,"$360,168 ","$1,288,759 ","$6,618,846 ","$7,122,957 ","$616,770 ","$9,296,733 ",71%,"$2,677,887 "
06M293,City College Academy of the Arts,Junior-Senior High School,"$5,017,615 ","$5,554,472 ","$536,857 ",90.33%,"$360,168 ","$1,244,077 ","$6,621,860 ","$7,158,717 ","$656,834 ","$8,743,658 ",76%,"$2,121,798 "
06M346,Community Health Academy of the Heights,Junior-Senior High School,"$6,319,740 ","$7,004,395 ","$684,655 ",90.23%,"$360,168 ","$1,511,347 ","$8,191,255 ","$8,875,910 ","$837,661 ","$10,478,065 ",78%,"$2,286,811 "
07X221,South Bronx Preparatory: A College Board School,Junior-Senior High School,"$6,343,322 ","$7,043,524 ","$700,202 ",90.06%,"$360,168 ","$1,344,882 ","$8,048,372 ","$8,748,574 ","$856,683 ","$11,384,654 ",71%,"$3,336,282 "
07X223,The Laboratory School of Finance and Technology: X223,Junior-Senior High School,"$5,875,266 ","$6,523,802 ","$648,536 ",90.06%,"$360,168 ","$1,335,901 ","$7,571,334 ","$8,219,870 ","$793,471 ","$10,271,060 ",74%,"$2,699,726 "
07X500,Hostos-Lincoln Academy of Science,Junior-Senior High School,"$4,461,992 ","$4,932,701 ","$470,709 ",90.46%,"$360,168 ","$1,103,434 ","$5,925,593 ","$6,396,302 ","$575,903 ","$8,271,595 ",72%,"$2,346,002 "
07X551,The Urban Assembly Bronx Academy of Letters,Junior-Senior High School,"$5,812,316 ","$6,443,995 ","$631,679 ",90.20%,"$360,168 ","$1,507,561 ","$7,680,045 ","$8,311,724 ","$772,846 ","$11,077,882 ",69%,"$3,397,837 "
08X269,Bronx Studio School for Writers and Artists,Junior-Senior High School,"$6,718,630 ","$6,718,630 ",$0 ,100.00%,"$360,168 ","$1,509,288 ","$8,588,086 ","$8,588,086 ",$0 ,"$11,748,212 ",73%,"$3,160,127 "
08X367,"Archimedes Academy for Math, Science and Technology Applications",Junior-Senior High School,"$5,595,452 ","$6,213,102 ","$617,650 ",90.06%,"$360,168 ","$1,367,478 ","$7,323,098 ","$7,940,749 ","$755,682 ","$10,809,392 ",68%,"$3,486,294 "
08X376,Antonia Pantoja Preparatory Academy: A College Board School,Junior-Senior High School,"$4,041,261 ","$4,451,665 ","$410,403 ",90.78%,"$360,168 ","$1,050,585 ","$5,452,014 ","$5,862,418 ","$502,120 ","$8,011,985 ",68%,"$2,559,971 "
09X231,Eagle Academy for Young Men,Junior-Senior High School,"$4,679,093 ","$5,174,703 ","$495,610 ",90.42%,"$360,168 ","$1,053,196 ","$6,092,456 ","$6,588,067 ","$606,369 ","$9,111,867 ",67%,"$3,019,411 "
09X241,"Urban Assembly School for Applied Math and Science, The",Junior-Senior High School,"$5,665,394 ","$6,290,224 ","$624,831 ",90.07%,"$360,168 ","$1,350,602 ","$7,376,163 ","$8,000,994 ","$764,468 ","$10,521,340 ",70%,"$3,145,177 "
09X324,Bronx Early College Academy for Teaching & Learning,Junior-Senior High School,"$4,353,837 ","$4,353,838 ",$1 ,100.00%,"$360,168 ","$867,542 ","$5,581,547 ","$5,581,547 ",$1 ,"$7,824,105 ",71%,"$2,242,558 "
09X327,Comprehensive Model School Project M.S. 327,Junior-Senior High School,"$6,419,383 ","$7,111,828 ","$692,445 ",90.26%,"$360,168 ","$1,462,369 ","$8,241,920 ","$8,934,365 ","$847,192 ","$11,821,716 ",70%,"$3,579,796 "
09X350,New Directions Secondary School,Junior-Senior High School,"$2,748,981 ","$2,748,981 ",$0 ,100.00%,"$360,168 ","$801,933 ","$3,911,082 ","$3,911,082 ",$0 ,"$6,317,261 ",62%,"$2,406,179 "
09X413,Bronx High School for Medical Science,Junior-Senior High School,"$4,966,212 ","$4,021,977 ",$0 ,123.48%,"$360,168 ","$1,203,845 ","$6,530,225 ","$5,585,990 ",$0 ,"$8,310,396 ",79%,"$1,780,171 "
