year,school_name_x,school_name_y,ptr,neighborhood,zip_code
2019,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.6,Gramercy Park - Murray Hill,10010
2020,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.7,Gramercy Park - Murray Hill,10010
2022,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,"""47"" The American Sign Language and English Secondary School",8.8,Gramercy Park - Murray Hill,10010
2019,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.9,Coney Island - Sheepshead Bay ,11235
2020,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.5,Coney Island - Sheepshead Bay ,11235
2022,ABRAHAM LINCOLN HIGH SCHOOL,Abraham Lincoln High School,15.3,Coney Island - Sheepshead Bay ,11235
2019,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,16,Long Island City - Astoria,11101
2020,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,14.2,Long Island City - Astoria,11101
2022,ACADEMY FOR CAREERS IN TELEVISION AND FILM,Academy for Careers in Television and Film,14.5,Long Island City - Astoria,11101
2019,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,13,Canarsie - Flatlands,11236
2020,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,12.2,Canarsie - Flatlands,11236
2022,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Academy for Conservation and the Environment,11.8,Canarsie - Flatlands,11236
2019,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,10.8,Bedford Stuyvesant - Crown Heights,11213
2020,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,12.4,Bedford Stuyvesant - Crown Heights,11213
2022,ACADEMY FOR HEALTH CAREERS,Academy for Health Careers,12.9,Bedford Stuyvesant - Crown Heights,11213
2019,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,12.9,Crotona - Tremont,10453
2020,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,12.7,Crotona - Tremont,10453
2022,ACADEMY FOR LANGUAGE AND TECHNOLOGY,Academy for Language and Technology,13.6,Crotona - Tremont,10453
2019,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A COLLEGE BOARD SCHOOL,Academy for Scholarship and Entrepreneurship: A College Board School,13,Northeast Bronx,10466
