Neighborhood,mean_score,mean_econ,mean_ell,mean_black,n_schools,NEQ_score_x,ELA_resid,Sci_resid,Alg_resid,NEQ_score_y
Bayside - Little Neck,70.205,72.5,6.0,18.18166666666667,2,1.0062649065801155,-0.6976935050985199,-0.08041419204320056,-0.04351408970660889,1.0062649065801155
Bedford Stuyvesant - Crown Heights,60.240512820512826,86.94871794871794,7.17948717948718,83.67256410256411,15,1.225268930682723,-0.49228115998313454,-0.11196921676579476,-0.015069532227307076,1.225268930682723
Bensonhurst - Bay Ridge,64.704,74.3,23.6,9.3995,7,1.1232114604737713,-2.1489762977468363,-0.27292259595892887,-0.07283023860704044,1.1232114604737713
Borough Park,67.86666666666666,78.0,16.666666666666668,9.805555555555555,3,1.2340552982648556,-1.2431894327720479,-0.05500931709039797,-0.09000240286614151,1.2340552982648556
Canarsie - Flatlands,60.955,85.39285714285714,6.25,84.77428571428571,10,1.1295291523976405,-1.251197645583916,-0.01415703364852989,0.018401735305171328,1.1295291523976405
Central Harlem - Morningside Heights,59.65857142857143,88.0,7.0,65.71714285714286,5,1.462772861493434,0.23240766128897342,-0.35098831311302653,-0.06712887856093212,1.462772861493434
Chelsea - Clinton,66.22877192982456,76.9298245614035,12.017543859649123,23.653859649122808,23,4.621259692058286,1.0311444009348278,0.3882483525167412,-0.05236123763626902,4.621259692058286
Coney Island - Sheepshead Bay ,64.70629629629629,81.0,14.0,26.911851851851853,9,1.1759615746699101,-0.6478691628341252,-0.2656601347780719,-0.11539090658243867,1.1759615746699101
Crotona - Tremont,61.259821428571435,89.71428571428571,12.375,30.344107142857144,20,1.6398303803785048,-1.4357554350150106,0.1518713906954179,0.047489047626601257,1.6398303803785048
Downtown - Heights - Park Slope,62.80138461538462,78.21538461538462,8.96923076923077,48.30953846153846,22,1.4776279713969669,-2.4958385945724615,-0.6478511705453972,0.023770708487730316,1.4776279713969669
East Flatbush - Flatbush,63.578936170212764,82.40425531914893,7.0212765957446805,81.18659574468084,17,1.123216367241322,0.1462649143942862,0.23825808501588977,0.18327647776148612,1.123216367241322
East Harlem,70.91954545454546,82.68181818181819,9.0,37.37136363636363,8,1.640495172300605,3.5525388653656784,0.8913654029577145,0.22610872900713253,1.640495172300605
East New York,58.38852941176471,88.02941176470588,19.441176470588236,40.98735294117647,12,1.3213922406461256,-3.699841357710018,-0.327897592511849,-0.08104674091955956,1.3213922406461256
Flushing - Clearview,68.82411764705883,79.29411764705883,23.647058823529413,2.3476470588235294,6,1.219469404338613,-1.5430619973739366,-0.0355773605862827,0.008293993447491226,1.219469404338613
Fordham - Bronx Park,63.32045454545454,84.07575757575758,20.272727272727273,23.97030303030303,23,1.2707716899300783,-0.1405516123355079,0.7431179906094472,0.05783091047627117,1.2707716899300783
Fresh Meadows,74.17416666666666,72.25,10.5,7.800833333333333,4,1.0,0.2897501793209722,0.018192488419322937,-0.04425268147760957,1.0
Gramercy Park - Murray Hill,71.96181818181819,72.54545454545455,18.09090909090909,15.456363636363637,4,4.986897269676318,2.787480577659848,0.3614571224474764,0.09248136966247726,4.986897269676318
