Neighborhood,mean_commfar,pct_res_zone,NEQ_zoning,log_permits,permit_count,NEQ2_raw,NEQ2_score,NEQ2_z
Bayside - Little Neck,0.0012813325858893,0.995995835669096,1.0062649065801157,9.81880002770803,,-1.0054061924876643,2.3610399356853993,-0.39758666019841604
Bedford Stuyvesant - Crown Heights,0.1158268607782678,0.9538269388392334,1.225268930682723,10.176981954277059,26290.0,-0.1964231792479635,3.010852665277109,-0.07767530815532665
Bensonhurst - Bay Ridge,0.0600089042239412,0.9732316767766708,1.1232114604737713,9.109193189971226,9037.0,-2.056786617729929,1.5165223465830218,-0.8133537750157351
Borough Park,0.0946410439622428,0.9495317964724906,1.2340552982648556,9.981744050501895,21627.0,-0.509106110045656,2.759691212646977,-0.20132539414625047
Canarsie - Flatlands,0.0349334724758674,0.9691494912601096,1.1295291523976403,9.819997242037102,18397.0,-0.8800584655329243,2.4617250517725546,-0.3480180535041525
Central Harlem - Morningside Heights,0.3389058594834768,0.9180783115801168,1.462772861493434,9.244065241377804,10342.0,-1.494836927810912,1.9679064373776383,-0.5911314512585849
Chelsea - Clinton,3.832276938078986,0.4958556801560214,4.621259692058286,10.192231560934287,26694.0,3.2277674485311656,5.761321614642077,1.2764167252475054
Coney Island - Sheepshead Bay ,0.0692328601630927,0.9612201751736636,1.17596157466991,8.686598356276965,5922.0,-2.6998300444213736,1.0,-1.0676445186884056
Crotona - Tremont,0.2544903372489579,0.8661109005936592,1.6398303803785048,8.83579236650274,6875.0,-1.9898774119989624,1.5702669282359003,-0.786894610707942
Downtown - Heights - Park Slope,0.2530731886049281,0.9057662361454611,1.4776279713969669,10.788638432968888,48466.0,1.0633145288195098,4.022732501135147,0.4204864416119934
East Flatbush - Flatbush,0.0561421741841612,0.972840019399986,1.123216367241322,9.9349862195955,20639.0,-0.697036991912021,2.608736399849226,-0.27564243359526663
East Harlem,0.4623692203847452,0.8869389132635842,1.640495172300605,9.24619002486988,10364.0,-1.3134542564967822,2.1136014233270495,-0.5194038937355725
East New York,0.1138895003301782,0.9300462249614792,1.3213922406461256,9.817602813378958,18353.0,-0.6919634516414229,2.612811703036036,-0.27363610824473533
Flushing - Clearview,0.1051251028408265,0.9541692880995016,1.219469404338613,10.131459428706979,25120.0,-0.27718503751848855,2.9459809897155864,-0.10961248711952903
Fordham - Bronx Park,0.1437992672365937,0.9454868435661152,1.2707716899300785,9.918967123384514,20311.0,-0.5757243359005034,2.7061803595452085,-0.2276694908147198
Fresh Meadows,0.0016722859069453,0.9975724881995954,1.0,9.81880002770803,,-1.0116767994408102,2.3560030929411955,-0.4000663641176346
Gramercy Park - Murray Hill,4.104074196753892,0.4335872805564756,4.986897269676318,11.567470466822025,105605.0,5.858195959721813,7.874203965542803,2.3166164917392083
Greenpoint,0.4367530159917703,0.7789207893014122,2.0701913709168656,9.81880002770803,,0.05948832742119531,3.2164126732884766,0.023524586974803988
Greenwich Village - SoHo,5.981143934632307,0.0138277812696417,7.470165602415981,10.504217863629703,36468.0,6.5929798945680655,8.464416549179717,2.6071859081659485
High Bridge - Morrisania,0.3917638303150583,0.8233688910940213,1.870523747712688,9.515543058145953,13568.0,-0.6397016616465458,2.6547908000679,-0.25296924673611293
Hunts Point - Mott Haven,0.3992102665350444,0.8353076669957222,1.8249306407161128,9.429315246418172,12447.0,-0.8273183324284454,2.5040883762067807,-0.32716203179262243
Jamaica,0.0651956828727052,0.9714797256405084,1.1324862979724062,10.637800668461894,41680.0,0.46949046357692104,3.5457454316696992,0.18565943476705196
Kingsbridge - Riverdale,0.0559610705596107,0.9444444444444444,1.2388707714779783,8.868976189274543,7107.0,-2.3365616119227233,1.2917940770488174,-0.9239904573629139
Long Island City - Astoria,0.7424253380577048,0.7257936220984886,2.4125140565250063,10.339934398253021,30943.0,1.2602185014444707,4.180894917186972,0.49835187892549854
Lower Manhattam,8.616666666666667,0.1444444444444444,8.022459263285956,9.81880002770803,,6.017172126145704,8.001901006090334,2.3794834240615863
Lower Manhattan,12.240201005025126,0.0251256281407035,10.0,10.127430784020902,25019.0,8.50470133453762,10.0,3.363173834465226
Northeast Bronx,0.0492646715532938,0.96573136000747,1.1493580045394278,9.03455739202181,8387.0,-2.1535110378631006,1.4388287999494433,-0.8516033297208081
Pelham - Throgs Neck,0.0582679005421574,0.9672836044120396,1.1467369094643818,9.345133468317714,11442.0,-1.6447422402762002,1.8474955280270553,-0.6504113253775272
Port Richmond,0.2195614035087719,0.9054824561403508,1.4649929570698932,9.574010790427302,14385.0,-0.9493289035852099,2.4060838186513442,-0.37541096427143683
Ridgewood - Forest Hills,0.1189262842349093,0.9403869737021392,1.2813203703594878,10.053458079112422,23235.0,-0.34371424114304133,2.8925416434038436,-0.13592138005492937
