DBN,School Name,Regents Exam,Exam,Year,Mean Score,Total Tested,Black_Percent,Hispanic_Percent,Asian_Percent,White_Percent,Teacher_Count,School Type,CTE,Transfer,ELL_Percent,EconDisadvantaged_Pct,SpecialEd_Pct,Homeless_Pct,NeedsIndex,ATTENDANCE_RATE,ClassSize_Algebra,ClassSize_Biology,ClassSize,NYSED_School_Name,INSTITUTION_ID,latitude,longitude,ZIP Code,Neighborhood
02M546,Academy for Software Engineering,Common Core Algebra,Algebra_I,2022,60.72,75,29.33,57.33,13.33,0.0,32,Career Technical,1.0,0.0,7.0,75.0,27.0,8.0,1.0,82.0,22.0,31.0,22.0,ACADEMY FOR SOFTWARE ENGINEERING,800000075018.0,40.735361,-73.987064,10003,Union Square - Lower East Side
02M546,Academy for Software Engineering,Living Environment,Living_Env,2022,65.05,76,27.63,59.21,13.16,0.0,32,Career Technical,1.0,0.0,7.0,75.0,27.0,8.0,1.0,82.0,22.0,31.0,31.0,ACADEMY FOR SOFTWARE ENGINEERING,800000075018.0,40.735361,-73.987064,10003,Union Square - Lower East Side
07X625,Bronxdale High School,Living Environment,Living_Env,2022,58.06,79,37.97,62.03,0.0,0.0,16,General Academic,0.0,0.0,10.0,90.0,19.0,17.0,1.0,90.0,22.0,30.0,30.0,BRONX LEGACY HIGH SCHOOL,800000091759.0,40.860443,-73.860729,10469,Northeast Bronx
07X625,Bronxdale High School,Common Core Algebra,Algebra_I,2022,60.55,83,36.14,63.86,0.0,0.0,16,General Academic,0.0,0.0,10.0,90.0,19.0,17.0,1.0,90.0,22.0,30.0,22.0,BRONX LEGACY HIGH SCHOOL,800000091759.0,40.860443,-73.860729,10469,Northeast Bronx
07X625,Bronxdale High School,Common Core English,ELA,2022,68.62,143,33.57,52.45,0.0,13.99,16,General Academic,0.0,0.0,10.0,90.0,19.0,17.0,1.0,90.0,22.0,30.0,26.0,BRONX LEGACY HIGH SCHOOL,800000091759.0,40.860443,-73.860729,10469,Northeast Bronx
72X508,Bronxdale High School,Living Environment,Living_Env,2022,58.06,79,37.97,62.03,0.0,0.0,41,General Academic,0.0,0.0,8.0,92.0,24.0,4.0,1.0,81.0,18.0,21.0,21.0,BRONXDALE HIGH SCHOOL,800000070871.0,40.860443,-73.860729,10469,Northeast Bronx
72X508,Bronxdale High School,Common Core Algebra,Algebra_I,2022,60.55,83,36.14,63.86,0.0,0.0,41,General Academic,0.0,0.0,8.0,92.0,24.0,4.0,1.0,81.0,18.0,21.0,18.0,BRONXDALE HIGH SCHOOL,800000070871.0,40.860443,-73.860729,10469,Northeast Bronx
72X508,Bronxdale High School,Common Core English,ELA,2022,68.62,143,33.57,52.45,0.0,13.99,41,General Academic,0.0,0.0,8.0,92.0,24.0,4.0,1.0,81.0,18.0,21.0,19.5,BRONXDALE HIGH SCHOOL,800000070871.0,40.860443,-73.860729,10469,Northeast Bronx
08X537,Bronx Arena High School,Common Core English,ELA,2022,73.0,10,0.0,100.0,0.0,0.0,14,Transfer School,0.0,1.0,1.0,90.0,17.0,12.0,1.0,45.0,1.0,,1.0,BRONX ARENA HIGH SCHOOL,800000070867.0,40.820486,-73.881187,10473,Pelham - Throgs Neck
30Q417,A-Tech High School,Common Core Algebra,Algebra_I,2022,71.26,56,35.71,64.29,0.0,0.0,7,Career Technical,1.0,0.0,,,,,,,,,,,,40.721448,-73.953328,11222,Greenpoint
30Q417,A-Tech High School,Living Environment,Living_Env,2022,76.53,62,29.03,70.97,0.0,0.0,7,Career Technical,1.0,0.0,,,,,,,,,,,,40.721448,-73.953328,11222,Greenpoint
76K610,A-Tech High School,Common Core Algebra,Algebra_I,2022,71.26,56,35.71,64.29,0.0,0.0,36,Career Technical,1.0,0.0,9.0,88.0,40.0,9.0,1.0,85.0,17.0,17.0,17.0,A-TECH HIGH SCHOOL,800000043476.0,40.721448,-73.953328,11222,Greenpoint
76K610,A-Tech High School,Living Environment,Living_Env,2022,76.53,62,29.03,70.97,0.0,0.0,36,Career Technical,1.0,0.0,9.0,88.0,40.0,9.0,1.0,85.0,17.0,17.0,17.0,A-TECH HIGH SCHOOL,800000043476.0,40.721448,-73.953328,11222,Greenpoint
71M047,"""47"" The American Sign Language and English Secondary School",Common Core Algebra,Algebra_I,2022,57.4,33,0.0,100.0,0.0,0.0,35,Special Education,0.0,0.0,8.0,84.0,26.0,11.0,1.0,77.0,13.0,13.0,13.0,AMERICAN SIGN LANG & ENG SECONDAR,800000046858.0,40.738374,-73.981329,10010,Gramercy Park - Murray Hill
71M047,"""47"" The American Sign Language and English Secondary School",Living Environment,Living_Env,2022,67.1,40,0.0,100.0,0.0,0.0,35,Special Education,0.0,0.0,8.0,84.0,26.0,11.0,1.0,77.0,13.0,13.0,13.0,AMERICAN SIGN LANG & ENG SECONDAR,800000046858.0,40.738374,-73.981329,10010,Gramercy Park - Murray Hill
