DBN	School Name	Regents Exam	Exam	Year	Mean Score	Total Tested	Black_Percent	Hispanic_Percent	Asian_Percent	White_Percent	Teacher_Count	School Type	CTE	Transfer	ELL_Percent	EconDisadvantaged_Pct	SpecialEd_Pct	Homeless_Pct	NeedsIndex	ATTENDANCE_RATE	ClassSize_Algebra	ClassSize_Biology	ClassSize	NYSED_School_Name	INSTITUTION_ID	latitude	longitude	ZIP Code	Neighborhood
02M546	Academy for Software Engineering	Common Core Algebra	Algebra_I	2023	60.26	79	29.11	59.49	11.39	0	32	Career Technical	1	0	7	82	25	13	1	82	19	21	19	ACADEMY FOR SOFTWARE ENGINEERING	8E+11	40.735361	-73.987064	10003	Union Square - Lower East Side
02M546	Academy for Software Engineering	Living Environment	Living_Env	2023	61.41	88	25	63.64	11.36	0	32	Career Technical	1	0	7	82	25	13	1	82	19	21	21	ACADEMY FOR SOFTWARE ENGINEERING	8E+11	40.735361	-73.987064	10003	Union Square - Lower East Side
02M546	Academy for Software Engineering	Common Core English	ELA	2023	71.87	183	32.24	48.63	14.21	4.92	32	Career Technical	1	0	7	82	25	13	1	82	19	21	20	ACADEMY FOR SOFTWARE ENGINEERING	8E+11	40.735361	-73.987064	10003	Union Square - Lower East Side
07X625	Bronxdale High School	Living Environment	Living_Env	2023	57.34	77	28.57	61.04	0	10.39	16	General Academic	0	0	16	94	22	22	1	86	25	18	18	BRONX LEGACY HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
07X625	Bronxdale High School	Common Core Algebra	Algebra_I	2023	59.77	82	34.15	57.32	0	8.54	16	General Academic	0	0	16	94	22	22	1	86	25	18	25	BRONX LEGACY HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
07X625	Bronxdale High School	Common Core English	ELA	2023	64.19	103	33.98	57.28	0	8.74	16	General Academic	0	0	16	94	22	22	1	86	25	18	21.5	BRONX LEGACY HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
72X508	Bronxdale High School	Living Environment	Living_Env	2023	57.34	77	28.57	61.04	0	10.39	41	General Academic	0	0	6	89	26	5	1	87	13	14	14	BRONXDALE HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
72X508	Bronxdale High School	Common Core Algebra	Algebra_I	2023	59.77	82	34.15	57.32	0	8.54	41	General Academic	0	0	6	89	26	5	1	87	13	14	13	BRONXDALE HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
72X508	Bronxdale High School	Common Core English	ELA	2023	64.19	103	33.98	57.28	0	8.74	41	General Academic	0	0	6	89	26	5	1	87	13	14	13.5	BRONXDALE HIGH SCHOOL	8E+11	40.860443	-73.860729	10469	Northeast Bronx
08X537	Bronx Arena High School	Living Environment	Living_Env	2023	61.8	10	0	100	0	0	14	Transfer School	0	1	3	89	25	14	1	50	21	2	2	BRONX ARENA HIGH SCHOOL	8E+11	40.820486	-73.881187	10473	Pelham - Throgs Neck
08X537	Bronx Arena High School	Common Core English	ELA	2023	62.2	34	44.12	55.88	0	0	14	Transfer School	0	1	3	89	25	14	1	50	21	2	11.5	BRONX ARENA HIGH SCHOOL	8E+11	40.820486	-73.881187	10473	Pelham - Throgs Neck
