Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2020,"""47"" The American Sign Language and English Secondary School",Special Education,Common Core Algebra,14,54.7,64.3,35.7,0.0,0.0,0.0,100.0,0.0
2023,"""47"" The American Sign Language and English Secondary School",Special Education,Living Environment,25,61.4,56.0,44.0,8.0,0.0,0.0,100.0,0.0
2020,"""47"" The American Sign Language and English Secondary School",Special Education,Common Core English,30,76.8,13.3,86.7,43.3,0.0,0.0,100.0,0.0
2022,"""47"" The American Sign Language and English Secondary School",Special Education,Common Core Algebra,33,57.4,69.7,30.3,0.0,0.0,0.0,100.0,0.0
2023,"""47"" The American Sign Language and English Secondary School",Special Education,Common Core Algebra,35,62.1,54.3,45.7,2.9,0.0,0.0,100.0,0.0
2022,"""47"" The American Sign Language and English Secondary School",Special Education,Living Environment,40,67.1,27.5,72.5,12.5,0.0,0.0,100.0,0.0
2023,"""47"" The American Sign Language and English Secondary School",Special Education,Common Core English,49,71.4,18.4,81.6,24.5,0.0,0.0,100.0,0.0
2022,A. Philip Randolph Campus High School,General Academic,Common Core English,21,62.83,33.37,66.63,4.73,0.0,33.33,66.67,0.0
2020,A. Philip Randolph Campus High School,General Academic,Living Environment,30,58.3,70.0,30.0,6.7,0.0,0.0,100.0,0.0
2020,A. Philip Randolph Campus High School,General Academic,Common Core Algebra,58,53.27,74.17,25.83,1.7,0.0,34.48,65.52,0.0
2023,A. Philip Randolph Campus High School,General Academic,Common Core Algebra,163,67.18,40.51,59.49,23.32,0.0,36.2,63.8,0.0
2022,A. Philip Randolph Campus High School,General Academic,Common Core Algebra,163,70.2,25.16,74.84,23.3,6.13,33.13,60.74,0.0
2023,A. Philip Randolph Campus High School,General Academic,Living Environment,174,63.66,47.1,52.9,14.39,0.0,35.06,64.94,0.0
2022,A. Philip Randolph Campus High School,General Academic,Living Environment,255,68.33,37.24,62.76,23.57,5.1,29.41,65.49,0.0
2023,A. Philip Randolph Campus High School,General Academic,Common Core English,293,69.76,27.67,72.33,33.75,3.75,34.47,61.77,0.0
2020,A. Philip Randolph Campus High School,General Academic,Common Core English,343,77.47,14.53,85.47,57.44,3.5,28.28,68.22,0.0
2022,Abraham Lincoln High School,General Academic,Common Core English,37,62.98,45.96,54.09,29.71,0.0,43.24,56.76,0.0
2020,Abraham Lincoln High School,General Academic,Living Environment,214,53.7,80.85,19.15,0.47,0.0,47.2,31.31,21.5
2020,Abraham Lincoln High School,General Academic,Common Core Algebra,279,59.79,62.35,37.65,1.81,0.0,52.69,27.6,19.71
2020,Abraham Lincoln High School,General Academic,Common Core English,331,75.07,21.15,78.85,48.62,21.75,45.62,32.63,0.0
2023,Abraham Lincoln High School,General Academic,Common Core English,417,72.51,24.43,75.57,39.08,12.95,41.49,27.34,18.23
2022,Abraham Lincoln High School,General Academic,Living Environment,447,65.11,44.32,55.68,15.24,18.79,34.9,32.89,13.42
2022,Abraham Lincoln High School,General Academic,Common Core Algebra,474,60.4,58.24,41.76,8.44,16.88,36.5,32.7,13.92
2023,Abraham Lincoln High School,General Academic,Living Environment,497,61.48,55.73,44.27,12.88,13.68,44.47,26.76,15.09
2023,Abraham Lincoln High School,General Academic,Common Core Algebra,661,62.81,46.88,53.12,7.28,13.46,41.3,29.95,15.28
2020,Academy for Careers in Television and Film,Career Technical,Common Core Algebra,12,55.8,83.3,16.7,0.0,0.0,0.0,100.0,0.0
2022,Academy for Careers in Television and Film,Career Technical,Common Core Algebra,57,65.27,43.85,56.15,14.02,0.0,12.28,71.93,15.79
2022,Academy for Careers in Television and Film,Career Technical,Living Environment,87,73.49,20.72,79.28,35.65,0.0,18.39,65.52,16.09
2023,Academy for Careers in Television and Film,Career Technical,Living Environment,113,68.26,34.53,65.47,23.86,0.0,9.73,74.34,15.93
2022,Academy for Careers in Television and Film,Career Technical,Common Core English,123,79.04,14.62,85.4,60.18,13.82,13.01,56.1,17.07
2023,Academy for Careers in Television and Film,Career Technical,Common Core Algebra,130,65.61,40.75,59.25,9.25,0.0,21.54,68.46,10.0
2020,Academy for Careers in Television and Film,Career Technical,Common Core English,137,82.66,9.49,90.51,71.55,5.84,8.03,65.69,20.44
2023,Academy for Careers in Television and Film,Career Technical,Common Core English,172,68.58,34.3,65.7,29.63,0.0,16.86,68.6,14.53
2020,Academy for Conservation and the Environment,General Academic,Common Core English,22,64.8,36.4,63.6,18.2,0.0,100.0,0.0,0.0
2020,Academy for Conservation and the Environment,General Academic,Living Environment,37,52.2,78.4,21.6,0.0,0.0,100.0,0.0,0.0
2020,Academy for Conservation and the Environment,General Academic,Common Core Algebra,62,59.29,53.26,46.74,3.26,0.0,75.81,11.29,12.9
2022,Academy for Conservation and the Environment,General Academic,Living Environment,80,68.25,32.51,67.49,21.26,0.0,71.25,16.25,12.5
2022,Academy for Conservation and the Environment,General Academic,Common Core English,92,71.6,21.78,78.22,39.11,0.0,84.78,8.7,6.52
2023,Academy for Conservation and the Environment,General Academic,Living Environment,98,58.29,62.25,37.75,6.09,11.22,77.55,11.22,0.0
2022,Academy for Conservation and the Environment,General Academic,Common Core Algebra,106,61.58,55.7,44.38,5.7,10.38,75.47,14.15,0.0
2023,Academy for Conservation and the Environment,General Academic,Common Core English,115,69.61,36.5,63.5,29.57,12.17,75.65,12.17,0.0
2023,Academy for Conservation and the Environment,General Academic,Common Core Algebra,124,57.7,64.53,35.47,4.0,8.06,82.26,9.68,0.0
2020,Academy for Excellence in Leadership,General Academic,Living Environment,28,53.1,82.1,17.9,0.0,0.0,0.0,100.0,0.0
2020,Academy for Excellence in Leadership,General Academic,Common Core English,50,57.43,53.99,46.01,4.02,0.0,18.0,82.0,0.0
2022,Academy for Excellence in Leadership,General Academic,Common Core Algebra,57,51.8,89.52,10.56,0.0,0.0,15.79,84.21,0.0
2022,Academy for Excellence in Leadership,General Academic,Living Environment,65,54.75,78.45,21.55,3.06,0.0,15.38,84.62,0.0
2023,Academy for Excellence in Leadership,General Academic,Living Environment,70,58.4,70.0,30.0,4.3,0.0,0.0,100.0,0.0
2020,Academy for Excellence in Leadership,General Academic,Common Core Algebra,95,49.83,91.61,8.41,0.0,0.0,16.84,83.16,0.0
2023,Academy for Excellence in Leadership,General Academic,Common Core Algebra,108,60.94,60.16,39.84,0.9,0.0,10.19,89.81,0.0
2023,Academy for Excellence in Leadership,General Academic,Common Core English,132,50.95,68.16,31.85,6.85,0.0,12.12,87.88,0.0
2020,Academy for Health Careers,Career Technical,Living Environment,11,50.7,100.0,0.0,0.0,0.0,100.0,0.0,0.0
2020,Academy for Health Careers,Career Technical,Common Core Algebra,25,56.1,80.0,20.0,0.0,0.0,100.0,0.0,0.0
2023,Academy for Health Careers,Career Technical,Living Environment,29,58.3,65.5,34.5,3.4,0.0,100.0,0.0,0.0
2022,Academy for Health Careers,Career Technical,Common Core Algebra,31,59.4,51.63,48.37,0.0,0.0,74.19,25.81,0.0
2022,Academy for Health Careers,Career Technical,Living Environment,31,64.5,35.5,64.5,6.45,0.0,64.52,35.48,0.0
2023,Academy for Health Careers,Career Technical,Common Core Algebra,41,52.95,85.37,14.63,0.0,0.0,82.93,17.07,0.0
2022,Academy for Health Careers,Career Technical,Common Core English,58,71.2,24.1,75.9,43.13,0.0,79.31,20.69,0.0
2023,Academy for Health Careers,Career Technical,Common Core English,59,61.64,42.42,57.58,8.44,0.0,77.97,22.03,0.0
2021,Academy for Language and Technology,General Academic,Common Core Algebra,46,53.5,80.4,19.6,0.0,0.0,0.0,100.0,0.0
2021,Academy for Language and Technology,General Academic,Common Core English,47,42.8,74.5,25.5,14.9,0.0,0.0,100.0,0.0
2020,Academy for Language and Technology,General Academic,Living Environment,48,53.9,85.4,14.6,2.1,0.0,0.0,100.0,0.0
2021,Academy for Language and Technology,General Academic,Living Environment,50,53.1,72.0,28.0,0.0,0.0,0.0,100.0,0.0
2020,Academy for Language and Technology,General Academic,Common Core English,52,68.0,32.7,67.3,34.6,0.0,0.0,100.0,0.0
2022,Academy for Language and Technology,General Academic,Living Environment,112,64.1,45.5,54.5,7.1,0.0,0.0,100.0,0.0
2022,Academy for Language and Technology,General Academic,Common Core English,115,67.9,32.2,67.8,34.8,0.0,0.0,100.0,0.0
2020,Academy for Language and Technology,General Academic,Common Core Algebra,152,67.3,34.9,65.1,12.5,0.0,0.0,100.0,0.0
2022,Academy for Language and Technology,General Academic,Common Core Algebra,189,64.2,41.3,58.7,10.1,0.0,0.0,100.0,0.0
2023,Academy for Language and Technology,General Academic,Common Core English,206,68.9,30.6,69.4,47.1,0.0,0.0,100.0,0.0
2020,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Living Environment,28,52.2,82.1,17.9,3.6,0.0,100.0,0.0,0.0
2022,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Living Environment,28,61.2,57.1,42.9,7.1,0.0,100.0,0.0,0.0
2020,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core Algebra,64,59.64,57.8,42.2,1.53,0.0,76.56,23.44,0.0
2023,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Living Environment,68,62.45,57.38,42.62,17.65,0.0,75.0,25.0,0.0
2020,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core English,75,71.48,30.64,69.36,37.29,0.0,69.33,30.67,0.0
2022,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core English,80,67.8,37.48,62.52,37.5,0.0,75.0,25.0,0.0
2022,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core Algebra,82,56.14,71.96,28.04,7.34,0.0,65.85,34.15,0.0
2023,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core English,84,67.14,36.93,63.07,23.82,0.0,63.1,36.9,0.0
2023,Academy for Scholarship and Entrepreneurship: A College Board School,General Academic,Common Core Algebra,110,56.81,66.38,33.62,4.54,0.0,64.55,35.45,0.0
2022,Academy for Software Engineering,Career Technical,Common Core Algebra,75,60.72,68.01,31.99,5.32,13.33,29.33,57.33,0.0
2022,Academy for Software Engineering,Career Technical,Living Environment,76,65.05,44.75,55.25,17.13,13.16,27.63,59.21,0.0
2023,Academy for Software Engineering,Career Technical,Common Core Algebra,79,60.26,56.96,43.04,2.52,11.39,29.11,59.49,0.0
2023,Academy for Software Engineering,Career Technical,Living Environment,88,61.41,53.41,46.59,17.02,11.36,25.0,63.64,0.0
2020,Academy for Software Engineering,Career Technical,Common Core Algebra,91,60.82,51.67,48.35,4.4,17.58,24.18,49.45,8.79
2020,Academy for Software Engineering,Career Technical,Common Core English,160,74.12,21.25,78.75,51.22,13.12,26.25,60.62,0.0
2023,Academy for Software Engineering,Career Technical,Common Core English,183,71.87,29.52,70.48,38.27,14.21,32.24,48.63,4.92
