Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,01M015,,,2,23,11,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,17,7.6,4.9,*,*,*,*,,
2020,,01M019,,,2,39,8,5,13.4,13.4,34,8.9,7.0,*,*,*,*,,,*,,,*,*,*,9,10.6,9.3,26,9.7,7.7,*,*,*,*,,
2020,,01M020,,,2,35,17,*,,,*,,,*,*,*,11,6.1,4.6,*,,,*,*,*,7,11.6,8.5,15,9.3,5.5,*,*,*,*,,
2020,,01M034,,,2,33,12,5,12.0,6.7,28,4.9,3.4,*,*,*,*,,,*,,,*,*,*,10,8.3,5.9,20,4.1,2.2,*,*,*,*,,
2020,,01M063,,,2,24,16,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,17,5.4,2.8,*,*,*,*,,
2020,,01M064,,,2,23,12,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,20,9.2,6.3,*,*,*,*,,
2020,,01M110,,,2,26,8,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,20,8.9,7.0,*,*,*,*,,
2020,,01M134,,,2,31,18,*,,,*,,,*,*,*,5,11.1,9.0,*,,,*,*,*,*,,,20,11.4,8.3,*,*,*,*,,
2020,,01M140,,,1,39,15,5,16.6,13.1,34,9.5,6.1,*,*,*,*,,,*,,,*,*,*,11,11.4,8.8,21,9.8,6.6,*,*,*,*,,
2020,,01M142,,,2,38,21,6,7.2,1.3,32,5.1,3.5,*,*,*,5,7.4,5.0,5,3.4,0.8,*,*,*,8,6.1,5.5,20,5.2,2.4,*,*,*,*,,
2020,,01M184,,,3,55,20,12,3.5,2.6,43,6.8,5.5,*,*,*,40,5.8,5.0,*,,,*,*,*,*,,,14,6.6,4.5,*,*,*,*,,
2020,,01M188,,,2,39,24,8,10.1,7.0,31,11.5,7.3,*,*,*,*,,,8,14.4,4.6,*,*,*,16,8.8,7.0,11,13.6,11.1,*,*,*,*,,
2020,,01M315,,,2,23,12,7,7.3,3.7,16,7.8,4.4,*,*,*,*,,,*,,,*,*,*,*,,,17,7.4,4.2,*,*,*,*,,
2020,,01M332,,,2,30,11,12,9.1,4.9,18,5.2,1.8,*,*,*,6,5.4,3.5,*,,,*,*,*,*,,,15,6.6,3.1,*,*,*,*,,
2020,,01M361,,,1,28,9,7,15.5,12.9,21,10.9,8.4,*,*,*,*,,,*,,,*,*,*,5,13.0,9.4,14,11.3,8.7,*,*,*,*,,
2020,,01M363,,,1,24,11,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,13,11.8,7.3,*,*,*,*,,
