Year,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2020,01M015,2,23,11,*,,,*,,
2020,01M019,2,39,8,5,13.4,13.4,34,8.9,7
2020,01M020,2,35,17,*,,,*,,
2020,01M034,2,33,12,5,12,6.7,28,4.9,3.4
2020,01M063,2,24,16,*,,,*,,
2020,01M064,2,23,12,*,,,*,,
2020,01M110,2,26,8,*,,,*,,
2020,01M134,2,31,18,*,,,*,,
2020,01M140,1,39,15,5,16.6,13.1,34,9.5,6.1
2020,01M142,2,38,21,6,7.2,1.3,32,5.1,3.5
2020,01M184,3,55,20,12,3.5,2.6,43,6.8,5.5
2020,01M188,2,39,24,8,10.1,7,31,11.5,7.3
2020,01M315,2,23,12,7,7.3,3.7,16,7.8,4.4
2020,01M332,2,30,11,12,9.1,4.9,18,5.2,1.8
2020,01M361,1,28,9,7,15.5,12.9,21,10.9,8.4
2020,01M363,1,24,11,*,,,*,,
2020,01M364,1,30,16,5,9.4,7.8,25,10.8,8
2020,01M378,2,25,3,5,3.7,2.4,20,5.5,4.1
2020,01M839,2,30,10,8,11.4,8.5,22,9.6,5.7
2020,02M001,1,25,15,*,,,*,,
2020,02M002,1,42,29,6,12.1,10.8,36,12.2,10.2
2020,02M003,2,51,22,6,14,11.7,45,10.8,8.8
2020,02M006,3,40,14,*,,,*,,
2020,02M011,3,57,19,*,,,*,,
2020,02M033,2,39,20,*,,,*,,
2020,02M040,2,40,11,7,14.2,12.9,33,9.5,6.9
2020,02M041,2,45,19,*,,,*,,
2020,02M042,2,54,17,8,11.5,11.5,46,12.5,12.1
2020,02M051,1,37,21,*,,,*,,
2020,02M059,2,43,14,*,,,*,,
2020,02M077,2,17,8,*,,,*,,
2020,02M089,2,29,13,*,,,*,,
2020,02M104,4,69,14,21,10.8,7.3,48,8.3,6.5
2020,02M111,2,36,17,*,,,*,,
2020,02M114,2,30,4,7,12.2,10.8,23,9.9,8.1
2020,02M116,2,33,18,*,,,*,,
2020,02M124,2,47,14,*,,,*,,
2020,02M126,3,61,16,13,11.8,10.5,48,11.7,10
2020,02M130,2,53,14,*,,,*,,
2020,02M131,2,29,12,9,9.4,6.5,20,12.9,11.3
2020,02M150,1,8,5,*,,,*,,
