Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2022,ACADEMY FOR SOFTWARE ENGINEERING,02M546,M546,HIGH SCHOOL,2,33,13,16,8.4,4.1,17,6.1,3.7
2022,WALKABOUT BRONX HIGH SCHOOL,07X625,X625,HIGH SCHOOL,1,7,3,*,,,*,,
2022,BRONX ARENA HIGH SCHOOL,08X537,X537,HIGH SCHOOL,2,15,2,8,7.6,5.4,7,12.1,7
2022,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,19K953,K953,HIGH SCHOOL,3,12,3,*,,,*,,
2022,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,71M047,M047,HIGH SCHOOL,3,34,5,14,5.6,2,20,7.8,4.7
2022,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,71M135,M135,HIGH SCHOOL,3,25,4,9,6.4,4.1,16,8.3,3
2022,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,71M139,M139,HIGH SCHOOL,3,39,12,19,6.2,3.6,20,5.8,3.7
2022,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,71M157,M157,HIGH SCHOOL,3,24,7,13,4.8,3.2,11,5.7,2.3
2022,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,71M211,M211,HIGH SCHOOL,3,37,13,16,8.9,3.8,21,8.5,3.3
2022,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,71M280,M280,HIGH SCHOOL,3,37,5,12,7.2,4.3,25,5.3,2.5
2022,URBAN ASSEMBLY MAKER ACADEMY,71M282,M282,HIGH SCHOOL,4,41,7,17,7,2.6,24,5.2,1.8
2022,HARLEM RENAISSANCE HIGH SCHOOL,71M285,M285,HIGH SCHOOL,1,15,4,5,21,11,10,17.1,7.3
2022,FOOD AND FINANCE HIGH SCHOOL,71M288,M288,HIGH SCHOOL,2,33,5,18,14,8.7,15,10.4,7
2022,ORCHARD COLLEGIATE ACADEMY,71M292,M292,HIGH SCHOOL,2,26,6,13,11.4,6.2,13,6.5,3.4
2022,ESSEX STREET ACADEMY,71M294,M294,HIGH SCHOOL,2,24,6,7,10.1,7.3,17,12.3,8
2022,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,71M296,M296,HIGH SCHOOL,2,23,6,8,13.9,9.6,15,13.6,8.3
2022,PACE HIGH SCHOOL,71M298,M298,HIGH SCHOOL,4,42,7,21,12.4,8.1,21,10.3,5.4
2022,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,71M299,M299,HIGH SCHOOL,2,16,3,9,16,6.5,7,10.3,5.7
2022,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,71M300,M300,HIGH SCHOOL,2,26,7,11,7.9,3.9,15,8.7,5
2022,FACING HISTORY SCHOOL  THE,71M303,M303,HIGH SCHOOL,2,31,8,11,8,6.4,20,8.2,4.8
2022,MOTT HALL HIGH SCHOOL,71M304,M304,HIGH SCHOOL,2,18,3,7,7.9,3.4,11,7.6,1.9
2022,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW  THE,71M305,M305,HIGH SCHOOL,3,27,8,14,7.2,3.7,13,6.1,3.6
2022,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES  THE,71M307,M307,HIGH SCHOOL,2,28,10,10,8.5,7.6,18,5.6,3.9
2022,LOWER MANHATTAN ARTS ACADEMY,71M308,M308,HIGH SCHOOL,2,32,7,16,7.3,3.4,16,4.8,3
2022,THE JUDITH S. KAYE SCHOOL,71M310,M310,HIGH SCHOOL,3,11,2,*,,,*,,
2022,JAMES BALDWIN SCHOOL  THE: A SCHOOL FOR EXPEDITION,71M313,M313,HIGH SCHOOL,2,20,5,7,11.7,8.7,13,9.3,6.1
2022,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,71M316,M316,HIGH SCHOOL,1,12,4,*,,,*,,
2022,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,71M369,M369,HIGH SCHOOL,2,28,10,10,6.5,4.1,18,7.2,3.1
2022,GRAMERCY ARTS HIGH SCHOOL,71M374,M374,HIGH SCHOOL,3,36,9,12,7.6,4.6,24,7.1,2.9
